event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret
f4_TPVG_2025-09-04,TPVG,form4_cluster_buy,2025-09-04T00:00:00,2025-09-05,2025-10-06,21,-0.15261,SPY,0.040529,-0.19314
f4_AVBC_2025-09-05,AVBC,form4_cluster_buy,2025-09-05T00:00:00,2025-09-08,2025-10-07,21,-0.066836,SPY,0.034131,-0.100967
f4_BWFG_2025-09-05,BWFG,form4_cluster_buy,2025-09-05T00:00:00,2025-09-08,2025-10-07,21,-0.013908,SPY,0.034131,-0.048039
f4_AFCG_2025-09-08,AFCG,form4_cluster_buy,2025-09-08T00:00:00,2025-09-09,2025-10-08,21,-0.180054,SPY,0.037898,-0.217952
f4_AARD_2025-09-12,AARD,form4_cluster_buy,2025-09-12T00:00:00,2025-09-15,2025-10-14,21,0.492462,SPY,0.004775,0.487687
f4_CAMP_2025-09-15,CAMP,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-10-15,21,0.241877,SPY,0.010628,0.23125
f4_SI_2025-09-15,SI,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-10-15,21,-0.228662,SPY,0.010628,-0.23929
f4_TTGT_2025-09-15,TTGT,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-10-15,21,-0.160305,SPY,0.010628,-0.170933
f4_NMFC_2025-09-18,NMFC,form4_cluster_buy,2025-09-18T00:00:00,2025-09-19,2025-10-20,21,-0.059536,SPY,0.011451,-0.070987
f4_MSIF_2025-09-29,MSIF,form4_cluster_buy,2025-09-29T00:00:00,2025-09-30,2025-10-29,21,-0.035796,SPY,0.031838,-0.067634
f4_PEPG_2025-10-01,PEPG,form4_cluster_buy,2025-10-01T00:00:00,2025-10-02,2025-10-31,21,-0.082677,SPY,0.019187,-0.101864
f4_IMRX_2025-10-02,IMRX,form4_cluster_buy,2025-10-02T00:00:00,2025-10-03,2025-11-03,21,0.084297,SPY,0.021114,0.063183
f4_GWRS_2025-10-07,GWRS,form4_cluster_buy,2025-10-07T00:00:00,2025-10-08,2025-11-06,21,-0.05353,SPY,-0.00416,-0.04937
f4_CBK_2025-10-09,CBK,form4_cluster_buy,2025-10-09T00:00:00,2025-10-10,2025-11-10,21,-0.005339,SPY,0.043521,-0.04886
f4_CPSH_2025-10-09,CPSH,form4_cluster_buy,2025-10-09T00:00:00,2025-10-10,2025-11-10,21,-0.234375,SPY,0.043521,-0.277896
f4_TTRX_2025-10-23,TTRX,form4_cluster_buy,2025-10-23T00:00:00,2025-10-24,2025-11-24,21,-0.311024,SPY,-0.01258,-0.298443
f4_INBK_2025-11-03,INBK,form4_cluster_buy,2025-11-03T00:00:00,2025-11-04,2025-12-04,21,0.129557,SPY,0.013551,0.116006
f4_AVBC_2025-11-04,AVBC,form4_cluster_buy,2025-11-04T00:00:00,2025-11-05,2025-12-05,21,0.109333,SPY,0.011969,0.097364
f4_NEWT_2025-11-04,NEWT,form4_cluster_buy,2025-11-04T00:00:00,2025-11-05,2025-12-05,21,0.073333,SPY,0.011969,0.061364
f4_BPRN_2025-11-06,BPRN,form4_cluster_buy,2025-11-06T00:00:00,2025-11-07,2025-12-09,21,0.006024,SPY,0.017989,-0.011965
f4_NVCT_2025-11-06,NVCT,form4_cluster_buy,2025-11-06T00:00:00,2025-11-07,2025-12-09,21,0.138436,SPY,0.017989,0.120448
f4_XZO_2025-11-07,XZO,form4_cluster_buy,2025-11-07T00:00:00,2025-11-10,2025-12-10,21,-0.070212,SPY,0.008996,-0.079207
f4_FDBC_2025-11-10,FDBC,form4_cluster_buy,2025-11-10T00:00:00,2025-11-11,2025-12-11,21,0.037935,SPY,0.009034,0.028901
f4_LENZ_2025-11-10,LENZ,form4_cluster_buy,2025-11-10T00:00:00,2025-11-11,2025-12-11,21,-0.073724,SPY,0.009034,-0.082758
f4_GBFH_2025-11-12,GBFH,form4_cluster_buy,2025-11-12T00:00:00,2025-11-13,2025-12-15,21,0.044956,SPY,0.012931,0.032026
f4_WEST_2025-11-12,WEST,form4_cluster_buy,2025-11-12T00:00:00,2025-11-13,2025-12-15,21,-0.016166,SPY,0.012931,-0.029097
f4_ARQ_2025-11-13,ARQ,form4_cluster_buy,2025-11-13T00:00:00,2025-11-14,2025-12-16,21,-0.067989,SPY,0.010328,-0.078317
f4_RGP_2025-11-13,RGP,form4_cluster_buy,2025-11-13T00:00:00,2025-11-14,2025-12-16,21,0.085417,SPY,0.010328,0.075088
f4_SENS_2025-11-13,SENS,form4_cluster_buy,2025-11-13T00:00:00,2025-11-14,2025-12-16,21,0.057508,SPY,0.010328,0.04718
f4_FRPH_2025-11-14,FRPH,form4_cluster_buy,2025-11-14T00:00:00,2025-11-17,2025-12-17,21,-0.024014,SPY,0.008608,-0.032622
f4_WHF_2025-11-14,WHF,form4_cluster_buy,2025-11-14T00:00:00,2025-11-17,2025-12-17,21,0.01831,SPY,0.008608,0.009702
