event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_ADV_2023-09-08,ADV,form4_cluster_buy,2023-09-08T00:00:00,2023-09-11,2023-12-08,63,0.156028,SPY,0.029821,0.126207,ok
f4_DERM_2023-09-08,DERM,form4_cluster_buy,2023-09-08T00:00:00,2023-09-11,2023-12-08,63,1.034965,SPY,0.029821,1.005144,ok
f4_FLWS_2023-09-11,FLWS,form4_cluster_buy,2023-09-11T00:00:00,2023-09-12,2023-12-11,63,0.347339,SPY,0.039529,0.30781,ok
f4_AEYE_2023-09-18,AEYE,form4_cluster_buy,2023-09-18T00:00:00,2023-09-19,2023-12-18,63,-0.210728,SPY,0.070415,-0.281143,ok
f4_FTCI_2023-09-18,FTCI,form4_cluster_buy,2023-09-18T00:00:00,2023-09-19,2023-12-18,63,-0.445205,SPY,0.070415,-0.515621,ok
f4_GRNT_2023-09-19,GRNT,form4_cluster_buy,2023-09-19T00:00:00,2023-09-20,2023-12-19,63,0.064557,SPY,0.086917,-0.022359,ok
f4_HURC_2023-09-20,HURC,form4_cluster_buy,2023-09-20T00:00:00,2023-09-21,2023-12-20,63,0.006573,SPY,0.089869,-0.083296,ok
f4_HPK_2023-09-21,HPK,form4_cluster_buy,2023-09-21T00:00:00,2023-09-22,2023-12-21,63,-0.150016,SPY,0.102682,-0.252698,ok
f4_TKNO_2023-09-21,TKNO,form4_cluster_buy,2023-09-21T00:00:00,2023-09-22,2023-12-21,63,0.725,SPY,0.102682,0.622318,ok
f4_MPAA_2023-09-26,MPAA,form4_cluster_buy,2023-09-26T00:00:00,2023-09-27,2023-12-27,63,0.206983,SPY,0.122972,0.084011,ok
f4_CODA_2023-09-29,CODA,form4_cluster_buy,2023-09-29T00:00:00,2023-10-02,2024-01-02,63,-0.010552,SPY,0.11059,-0.121142,ok
f4_ASTI_2023-10-02,ASTI,form4_cluster_buy,2023-10-02T00:00:00,2023-10-03,2024-01-03,63,-0.475309,SPY,0.116466,-0.591774,ok
f4_TGEN_2023-10-18,TGEN,form4_cluster_buy,2023-10-18T00:00:00,2023-10-19,2024-01-22,63,-0.149171,SPY,0.138311,-0.287483,ok
f4_RMBI_2023-10-26,RMBI,form4_cluster_buy,2023-10-26T00:00:00,2023-10-27,2024-01-30,63,0.227548,SPY,0.200156,0.027392,ok
f4_TBI_2023-11-01,TBI,form4_cluster_buy,2023-11-01T00:00:00,2023-11-02,2024-02-05,63,0.118443,SPY,0.14808,-0.029637,ok
f4_AROW_2023-11-03,AROW,form4_cluster_buy,2023-11-03T00:00:00,2023-11-06,2024-02-07,63,0.014344,SPY,0.147879,-0.133535,ok
f4_LXFR_2023-11-03,LXFR,form4_cluster_buy,2023-11-03T00:00:00,2023-11-06,2024-02-07,63,-0.083989,SPY,0.147879,-0.231869,ok
f4_BALY_2023-11-07,BALY,form4_cluster_buy,2023-11-07T00:00:00,2024-12-06,2025-03-12,63,0.035775,SPY,0.150903,-0.115127,ok
f4_COFS_2023-11-07,COFS,form4_cluster_buy,2023-11-07T00:00:00,2023-11-08,2024-02-09,63,0.210459,SPY,0.150903,0.059556,ok
f4_PACK_2023-11-08,PACK,form4_cluster_buy,2023-11-08T00:00:00,2023-11-09,2024-02-12,63,0.602007,SPY,0.159439,0.442567,ok
f4_AMPY_2023-11-09,AMPY,form4_cluster_buy,2023-11-09T00:00:00,2023-11-10,2024-02-13,63,-0.044586,SPY,0.125901,-0.170487,ok
f4_AURA_2023-11-09,AURA,form4_cluster_buy,2023-11-09T00:00:00,2023-11-10,2024-02-13,63,0.041613,SPY,0.125901,-0.084288,ok
f4_LXEO_2023-11-09,LXEO,form4_cluster_buy,2023-11-09T00:00:00,2023-11-10,2024-02-13,63,0.458256,SPY,0.125901,0.332355,ok
f4_RBB_2023-11-09,RBB,form4_cluster_buy,2023-11-09T00:00:00,2023-11-10,2024-02-13,63,0.288351,SPY,0.125901,0.162451,ok
f4_RM_2023-11-09,RM,form4_cluster_buy,2023-11-09T00:00:00,2023-11-10,2024-02-13,63,-0.075248,SPY,0.125901,-0.201149,ok
f4_EML_2023-11-13,EML,form4_cluster_buy,2023-11-13T00:00:00,2023-11-14,2024-02-15,63,0.314522,SPY,0.123271,0.191251,ok
f4_ZNTL_2023-11-13,ZNTL,form4_cluster_buy,2023-11-13T00:00:00,2023-11-14,2024-02-15,63,0.074106,SPY,0.123271,-0.049165,ok
f4_ATRA_2023-11-15,ATRA,form4_cluster_buy,2023-11-15T00:00:00,2023-11-16,2024-02-20,63,0.746362,SPY,0.107821,0.638541,ok
f4_MOVE_2023-11-15,MOVE,form4_cluster_buy,2023-11-15T00:00:00,2023-11-16,2024-02-20,63,-0.344626,SPY,0.107821,-0.452447,ok
f4_WEST_2023-11-16,WEST,form4_cluster_buy,2023-11-16T00:00:00,2023-11-17,2024-02-21,63,0.18203,SPY,0.107447,0.074584,ok
f4_EXFY_2023-11-16,EXFY,form4_cluster_buy,2023-11-16T00:00:00,2023-11-17,2024-02-21,63,-0.360656,SPY,0.107447,-0.468102,ok
f4_FBIO_2023-11-16,FBIO,form4_cluster_buy,2023-11-16T00:00:00,2023-11-17,2024-02-21,63,-0.172249,SPY,0.107447,-0.279695,ok
f4_RILY_2023-11-17,RILY,form4_cluster_buy,2023-11-17T00:00:00,2023-11-20,2024-02-22,63,-0.336141,SPY,0.121731,-0.457873,ok
f4_BRCC_2023-11-20,BRCC,form4_cluster_buy,2023-11-20T00:00:00,2023-11-21,2024-02-23,63,0.0,SPY,0.124956,-0.124956,ok
f4_ATNI_2023-11-22,ATNI,form4_cluster_buy,2023-11-22T00:00:00,2023-11-24,2024-02-27,63,0.088328,SPY,0.117912,-0.029584,ok
f4_AVD_2023-11-22,AVD,form4_cluster_buy,2023-11-22T00:00:00,2023-11-24,2024-02-27,63,0.146386,SPY,0.117912,0.028474,ok
f4_SRBK_2023-11-22,SRBK,form4_cluster_buy,2023-11-22T00:00:00,2023-11-24,2024-02-27,63,0.007408,SPY,0.117912,-0.110504,ok
f4_RWAY_2023-11-24,RWAY,form4_cluster_buy,2023-11-24T00:00:00,2023-11-27,2024-02-28,63,0.090603,SPY,0.118449,-0.027846,ok
f4_RNGR_2023-11-30,RNGR,form4_cluster_buy,2023-11-30T00:00:00,2023-12-01,2024-03-05,63,0.114201,SPY,0.109206,0.004995,ok
f4_SHBI_2023-11-30,SHBI,form4_cluster_buy,2023-11-30T00:00:00,2023-12-01,2024-03-05,63,-0.083475,SPY,0.109206,-0.192681,ok
f4_MGPI_2023-12-06,MGPI,form4_cluster_buy,2023-12-06T00:00:00,2023-12-07,2024-03-11,63,-0.014577,SPY,0.120295,-0.134872,ok
