event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_TPVG_2025-09-04,TPVG,form4_cluster_buy,2025-09-04T00:00:00,2025-09-05,2025-12-04,63,0.008363,SPY,0.060329,-0.051966,ok
f4_AVBC_2025-09-05,AVBC,form4_cluster_buy,2025-09-05T00:00:00,2025-09-08,2025-12-05,63,0.059198,SPY,0.05974,-0.000542,ok
f4_BWFG_2025-09-05,BWFG,form4_cluster_buy,2025-09-05T00:00:00,2025-09-08,2025-12-05,63,0.084299,SPY,0.05974,0.024559,ok
f4_AFCG_2025-09-08,AFCG,form4_cluster_buy,2025-09-08T00:00:00,2025-09-09,2025-12-08,63,-0.400145,SPY,0.054119,-0.454264,ok
f4_AARD_2025-09-12,AARD,form4_cluster_buy,2025-09-12T00:00:00,2025-09-15,2025-12-12,63,0.450251,SPY,0.034407,0.415844,ok
f4_CAMP_2025-09-15,CAMP,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-12-15,63,1.436823,SPY,0.034269,1.402555,ok
f4_SI_2025-09-15,SI,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-12-15,63,-0.079618,SPY,0.034269,-0.113886,ok
f4_TTGT_2025-09-15,TTGT,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-12-15,63,-0.206107,SPY,0.034269,-0.240375,ok
f4_NMFC_2025-09-18,NMFC,form4_cluster_buy,2025-09-18T00:00:00,2025-09-19,2025-12-18,63,-0.047915,SPY,0.01924,-0.067156,ok
f4_MSIF_2025-09-29,MSIF,form4_cluster_buy,2025-09-29T00:00:00,2025-09-30,2025-12-30,63,0.014471,SPY,0.034315,-0.019844,ok
f4_PEPG_2025-10-01,PEPG,form4_cluster_buy,2025-10-01T00:00:00,2025-10-02,2026-01-02,63,0.411417,SPY,0.023862,0.387556,ok
f4_IMRX_2025-10-02,IMRX,form4_cluster_buy,2025-10-02T00:00:00,2025-10-03,2026-01-05,63,0.092562,SPY,0.030696,0.061866,ok
f4_GWRS_2025-10-07,GWRS,form4_cluster_buy,2025-10-07T00:00:00,2025-10-08,2026-01-08,63,-0.213072,SPY,0.027391,-0.240464,ok
f4_CBK_2025-10-09,CBK,form4_cluster_buy,2025-10-09T00:00:00,2025-10-10,2026-01-12,63,-0.007803,SPY,0.067677,-0.075479,ok
f4_CPSH_2025-10-09,CPSH,form4_cluster_buy,2025-10-09T00:00:00,2025-10-10,2026-01-12,63,0.0,SPY,0.067677,-0.067677,ok
f4_TTRX_2025-10-23,TTRX,form4_cluster_buy,2025-10-23T00:00:00,2025-10-24,2026-01-27,63,-0.029528,SPY,0.029967,-0.059494,ok
f4_INBK_2025-11-03,INBK,form4_cluster_buy,2025-11-03T00:00:00,2025-11-04,2026-02-05,63,0.201538,SPY,0.00649,0.195048,ok
f4_NEWT_2025-11-04,NEWT,form4_cluster_buy,2025-11-04T00:00:00,2025-11-05,2026-02-06,63,0.34857,SPY,0.022257,0.326313,ok
