event_id,ticker,event_ts,event_type,car,day_A,acceptance_utc,filing_date
DBI_2023-09-07_car,DBI,2023-09-08,8k_item202_car_ge5,0.158602,2023-09-07,2023-09-07T10:52:08.000Z,2023-09-07
EMPD_2023-09-07_car,EMPD,2023-09-08,8k_item202_car_ge5,0.058531,2023-09-07,2023-09-06T20:10:08.000Z,2023-09-06
JYNT_2023-09-07_car,JYNT,2023-09-08,8k_item202_car_ge5,0.065235,2023-09-07,2023-09-06T20:48:12.000Z,2023-09-06
LAKE_2023-09-07_car,LAKE,2023-09-08,8k_item202_car_ge5,0.092412,2023-09-07,2023-09-06T21:19:31.000Z,2023-09-06
MRDN_2023-09-07_car,MRDN,2023-09-08,8k_item202_car_ge5,0.144426,2023-09-07,2023-09-07T12:54:42.000Z,2023-09-07
BBCP_2023-09-08_car,BBCP,2023-09-11,8k_item202_car_ge5,0.087908,2023-09-08,2023-09-07T20:06:37.000Z,2023-09-07
MTRX_2023-09-12_car,MTRX,2023-09-13,8k_item202_car_ge5,0.162419,2023-09-12,2023-09-11T20:16:03.000Z,2023-09-11
VNCE_2023-09-12_car,VNCE,2023-09-13,8k_item202_car_ge5,0.071365,2023-09-12,2023-09-12T11:30:38.000Z,2023-09-12
HURA_2023-09-19_car,HURA,2023-09-20,8k_item202_car_ge5,0.198748,2023-09-19,2023-09-18T20:31:36.000Z,2023-09-18
BNTC_2023-09-21_car,BNTC,2023-09-22,8k_item202_car_ge5,0.056155,2023-09-21,2023-09-21T12:05:29.000Z,2023-09-21
SIF_2023-09-28_car,SIF,2023-09-29,8k_item202_car_ge5,0.207865,2023-09-28,2023-09-28T12:16:41.000Z,2023-09-28
EVI_2023-10-05_car,EVI,2023-10-06,8k_item202_car_ge5,0.14735,2023-10-05,2023-10-05T00:42:44.000Z,2023-10-05
NSLR_2023-10-11_car,NSLR,2023-10-12,8k_item202_car_ge5,0.137384,2023-10-11,2023-10-10T20:10:53.000Z,2023-10-10
BYRN_2023-10-12_car,BYRN,2023-10-13,8k_item202_car_ge5,0.264723,2023-10-12,2023-10-12T12:00:15.000Z,2023-10-12
PDEX_2023-10-16_car,PDEX,2023-10-17,8k_item202_car_ge5,0.148103,2023-10-16,2023-10-13T20:17:43.000Z,2023-10-13
NKTX_2023-10-17_car,NKTX,2023-10-18,8k_item202_car_ge5,1.067424,2023-10-17,2023-10-17T11:06:16.000Z,2023-10-17
OPFI_2023-10-19_car,OPFI,2023-10-20,8k_item202_car_ge5,0.140584,2023-10-19,2023-10-18T20:20:00.000Z,2023-10-18
PODC_2023-10-20_car,PODC,2023-10-23,8k_item202_car_ge5,0.131647,2023-10-20,2023-10-19T21:00:30.000Z,2023-10-19
AROW_2023-10-24_car,AROW,2023-10-25,8k_item202_car_ge5,0.125327,2023-10-24,2023-10-24T12:21:51.000Z,2023-10-24
COFS_2023-10-25_car,COFS,2023-10-26,8k_item202_car_ge5,0.128382,2023-10-25,2023-10-25T12:22:19.000Z,2023-10-25
CZWI_2023-10-25_car,CZWI,2023-10-26,8k_item202_car_ge5,0.0722,2023-10-25,2023-10-24T20:05:31.000Z,2023-10-24
FCBC_2023-10-25_car,FCBC,2023-10-26,8k_item202_car_ge5,0.126052,2023-10-25,2023-10-24T20:30:18.000Z,2023-10-24
FRAF_2023-10-25_car,FRAF,2023-10-26,8k_item202_car_ge5,0.11001,2023-10-25,2023-10-24T20:00:15.000Z,2023-10-24
HWBK_2023-10-25_car,HWBK,2023-10-26,8k_item202_car_ge5,0.054003,2023-10-25,2023-10-25T17:34:32.000Z,2023-10-25
TZOO_2023-10-25_car,TZOO,2023-10-26,8k_item202_car_ge5,0.05372,2023-10-25,2023-10-24T20:29:24.000Z,2023-10-24
WNEB_2023-10-25_car,WNEB,2023-10-26,8k_item202_car_ge5,0.07433,2023-10-25,2023-10-24T20:24:42.000Z,2023-10-24
WSBF_2023-10-25_car,WSBF,2023-10-26,8k_item202_car_ge5,0.053263,2023-10-25,2023-10-24T20:00:18.000Z,2023-10-24
INBK_2023-10-26_car,INBK,2023-10-27,8k_item202_car_ge5,0.121463,2023-10-26,2023-10-25T20:31:10.000Z,2023-10-25
KRNY_2023-10-26_car,KRNY,2023-10-27,8k_item202_car_ge5,0.054161,2023-10-26,2023-10-26T13:00:53.000Z,2023-10-26
SPOK_2023-10-26_car,SPOK,2023-10-27,8k_item202_car_ge5,0.054835,2023-10-26,2023-10-25T20:12:59.000Z,2023-10-25
FRST_2023-10-27_car,FRST,2023-10-30,8k_item202_car_ge5,0.177344,2023-10-27,2023-10-26T20:30:21.000Z,2023-10-26
MRBK_2023-10-27_car,MRBK,2023-10-30,8k_item202_car_ge5,0.100205,2023-10-27,2023-10-27T16:45:54.000Z,2023-10-27
SMP_2023-10-27_car,SMP,2023-10-30,8k_item202_car_ge5,0.078158,2023-10-27,2023-10-27T14:05:43.000Z,2023-10-27
