event_id,ticker,event_ts,event_type,car,day_A,acceptance_utc,filing_date
EVI_2023-10-05_car,EVI,2023-10-06,8k_item202_car_ge5_pit,0.14735,2023-10-05,2023-10-05T00:42:44.000Z,2023-10-05
AROW_2023-10-24_car,AROW,2023-10-25,8k_item202_car_ge5_pit,0.125328,2023-10-24,2023-10-24T12:21:51.000Z,2023-10-24
FCBC_2023-10-25_car,FCBC,2023-10-26,8k_item202_car_ge5_pit,0.126052,2023-10-25,2023-10-24T20:30:18.000Z,2023-10-24
TZOO_2023-10-25_car,TZOO,2023-10-26,8k_item202_car_ge5_pit,0.05372,2023-10-25,2023-10-24T20:29:24.000Z,2023-10-24
WSBF_2023-10-25_car,WSBF,2023-10-26,8k_item202_car_ge5_pit,0.053263,2023-10-25,2023-10-24T20:00:18.000Z,2023-10-24
INBK_2023-10-26_car,INBK,2023-10-27,8k_item202_car_ge5_pit,0.121463,2023-10-26,2023-10-25T20:31:10.000Z,2023-10-25
KRNY_2023-10-26_car,KRNY,2023-10-27,8k_item202_car_ge5_pit,0.05416,2023-10-26,2023-10-26T13:00:53.000Z,2023-10-26
SPOK_2023-10-26_car,SPOK,2023-10-27,8k_item202_car_ge5_pit,0.054835,2023-10-26,2023-10-25T20:12:59.000Z,2023-10-25
FRST_2023-10-27_car,FRST,2023-10-30,8k_item202_car_ge5_pit,0.177345,2023-10-27,2023-10-26T20:30:21.000Z,2023-10-26
SMP_2023-10-27_car,SMP,2023-10-30,8k_item202_car_ge5_pit,0.078158,2023-10-27,2023-10-27T14:05:43.000Z,2023-10-27
LUNG_2023-10-31_car,LUNG,2023-11-01,8k_item202_car_ge5_pit,0.133812,2023-10-31,2023-10-30T20:06:41.000Z,2023-10-30
MFIN_2023-10-31_car,MFIN,2023-11-01,8k_item202_car_ge5_pit,0.176834,2023-10-31,2023-10-30T20:31:40.000Z,2023-10-30
GTE_2023-11-01_car,GTE,2023-11-02,8k_item202_car_ge5_pit,0.123562,2023-11-01,2023-10-31T21:51:05.000Z,2023-11-01
RMNI_2023-11-01_car,RMNI,2023-11-02,8k_item202_car_ge5_pit,0.251073,2023-11-01,2023-11-01T11:07:19.000Z,2023-11-01
AMWL_2023-11-02_car,AMWL,2023-11-03,8k_item202_car_ge5_pit,0.174927,2023-11-02,2023-11-01T20:09:39.000Z,2023-11-01
AVNW_2023-11-02_car,AVNW,2023-11-03,8k_item202_car_ge5_pit,0.124599,2023-11-02,2023-11-01T20:05:40.000Z,2023-11-01
FLWS_2023-11-02_car,FLWS,2023-11-03,8k_item202_car_ge5_pit,0.109959,2023-11-02,2023-11-02T12:07:52.000Z,2023-11-02
GAIN_2023-11-02_car,GAIN,2023-11-03,8k_item202_car_ge5_pit,0.053051,2023-11-02,2023-11-01T20:21:35.000Z,2023-11-01
HVT_2023-11-02_car,HVT,2023-11-03,8k_item202_car_ge5_pit,0.094338,2023-11-02,2023-11-01T20:20:01.000Z,2023-11-01
KLRS_2023-11-02_car,KLRS,2023-11-03,8k_item202_car_ge5_pit,0.062446,2023-11-02,2023-11-02T12:11:30.000Z,2023-11-02
PKOH_2023-11-02_car,PKOH,2023-11-03,8k_item202_car_ge5_pit,0.075631,2023-11-02,2023-11-01T20:12:26.000Z,2023-11-01
RCKY_2023-11-02_car,RCKY,2023-11-03,8k_item202_car_ge5_pit,0.612013,2023-11-02,2023-11-01T20:21:56.000Z,2023-11-01
RRGB_2023-11-02_car,RRGB,2023-11-03,8k_item202_car_ge5_pit,0.171788,2023-11-02,2023-11-01T20:03:36.000Z,2023-11-01
TIPT_2023-11-02_car,TIPT,2023-11-03,8k_item202_car_ge5_pit,0.123811,2023-11-02,2023-11-01T20:09:30.000Z,2023-11-01
VMD_2023-11-02_car,VMD,2023-11-03,8k_item202_car_ge5_pit,0.203827,2023-11-02,2023-11-01T21:01:27.000Z,2023-11-01
ANIK_2023-11-03_car,ANIK,2023-11-06,8k_item202_car_ge5_pit,0.104932,2023-11-03,2023-11-02T20:11:11.000Z,2023-11-02
CPS_2023-11-03_car,CPS,2023-11-06,8k_item202_car_ge5_pit,0.399396,2023-11-03,2023-11-03T10:06:10.000Z,2023-11-03
EGAN_2023-11-03_car,EGAN,2023-11-06,8k_item202_car_ge5_pit,0.06484,2023-11-03,2023-11-02T20:00:32.000Z,2023-11-02
HIPO_2023-11-03_car,HIPO,2023-11-06,8k_item202_car_ge5_pit,0.201242,2023-11-03,2023-11-02T20:15:27.000Z,2023-11-02
JAKK_2023-11-03_car,JAKK,2023-11-06,8k_item202_car_ge5_pit,0.140729,2023-11-03,2023-11-03T19:19:01.000Z,2023-11-03
MG_2023-11-03_car,MG,2023-11-06,8k_item202_car_ge5_pit,0.08442,2023-11-03,2023-11-02T20:01:34.000Z,2023-11-02
MMI_2023-11-03_car,MMI,2023-11-06,8k_item202_car_ge5_pit,0.075512,2023-11-03,2023-11-03T00:45:00.000Z,2023-11-03
PBYI_2023-11-03_car,PBYI,2023-11-06,8k_item202_car_ge5_pit,0.117069,2023-11-03,2023-11-02T20:19:20.000Z,2023-11-02
SSP_2023-11-03_car,SSP,2023-11-06,8k_item202_car_ge5_pit,0.149211,2023-11-03,2023-11-03T12:01:19.000Z,2023-11-03
OPRX_2023-11-06_car,OPRX,2023-11-07,8k_item202_car_ge5_pit,0.133834,2023-11-06,2023-11-06T12:15:05.000Z,2023-11-06
FOR_2023-11-07_car,FOR,2023-11-08,8k_item202_car_ge5_pit,0.145586,2023-11-07,2023-11-07T18:43:05.000Z,2023-11-07
IMXI_2023-11-07_car,IMXI,2023-11-08,8k_item202_car_ge5_pit,0.149993,2023-11-07,2023-11-07T12:29:52.000Z,2023-11-07
MGNX_2023-11-07_car,MGNX,2023-11-08,8k_item202_car_ge5_pit,0.262963,2023-11-07,2023-11-06T21:04:39.000Z,2023-11-06
SBDS_2023-11-07_car,SBDS,2023-11-08,8k_item202_car_ge5_pit,0.143255,2023-11-07,2023-11-07T11:52:53.000Z,2023-11-07
SEAT_2023-11-07_car,SEAT,2023-11-08,8k_item202_car_ge5_pit,0.169219,2023-11-07,2023-11-07T11:18:37.000Z,2023-11-07
TASK_2023-11-07_car,TASK,2023-11-08,8k_item202_car_ge5_pit,0.240084,2023-11-07,2023-11-06T21:16:05.000Z,2023-11-06
TRDA_2023-11-07_car,TRDA,2023-11-08,8k_item202_car_ge5_pit,0.075064,2023-11-07,2023-11-07T12:08:39.000Z,2023-11-07
UIS_2023-11-07_car,UIS,2023-11-08,8k_item202_car_ge5_pit,0.408184,2023-11-07,2023-11-06T21:32:07.000Z,2023-11-06
