event_id,ticker,event_ts,event_type,n_insiders,n_filings,total_value,first_filing
f4_TPVG_2025-09-04,TPVG,2025-09-04,form4_cluster_buy,2,4,1386372.48,2025-09-04
f4_AVBC_2025-09-05,AVBC,2025-09-05,form4_cluster_buy,2,2,100052.59,2025-09-03
f4_BWFG_2025-09-05,BWFG,2025-09-05,form4_cluster_buy,5,6,107412.9,2025-09-05
f4_AFCG_2025-09-08,AFCG,2025-09-08,form4_cluster_buy,2,4,748800.93,2025-09-03
f4_AARD_2025-09-12,AARD,2025-09-12,form4_cluster_buy,2,4,209093.8,2025-09-10
f4_CAMP_2025-09-15,CAMP,2025-09-15,form4_cluster_buy,7,9,8554993.77,2025-09-11
f4_SI_2025-09-15,SI,2025-09-15,form4_cluster_buy,2,3,147827.0,2025-09-15
f4_TTGT_2025-09-15,TTGT,2025-09-15,form4_cluster_buy,2,2,143894.0,2025-09-12
f4_NMFC_2025-09-18,NMFC,2025-09-18,form4_cluster_buy,2,3,1542405.0,2025-09-16
f4_AVBC_2025-09-19,AVBC,2025-09-19,form4_cluster_buy,2,3,139612.1,2025-09-15
f4_MSIF_2025-09-29,MSIF,2025-09-29,form4_cluster_buy,3,5,150606.05,2025-09-24
f4_PEPG_2025-10-01,PEPG,2025-10-01,form4_cluster_buy,2,2,30640000.0,2025-09-30
f4_IMRX_2025-10-02,IMRX,2025-10-02,form4_cluster_buy,4,5,102617.11,2025-09-30
f4_GWRS_2025-10-07,GWRS,2025-10-07,form4_cluster_buy,2,2,9086896.9,2025-10-07
f4_CBK_2025-10-09,CBK,2025-10-09,form4_cluster_buy,2,2,199968.0,2025-10-09
f4_CPSH_2025-10-09,CPSH,2025-10-09,form4_cluster_buy,5,5,201498.0,2025-10-09
f4_CBK_2025-10-15,CBK,2025-10-15,form4_cluster_buy,2,2,549984.0,2025-10-15
f4_TTRX_2025-10-23,TTRX,2025-10-23,form4_cluster_buy,2,2,124997.4,2025-10-23
f4_INBK_2025-11-03,INBK,2025-11-03,form4_cluster_buy,3,3,151943.4,2025-10-30
f4_AVBC_2025-11-04,AVBC,2025-11-04,form4_cluster_buy,2,5,174896.08,2025-10-31
f4_NEWT_2025-11-04,NEWT,2025-11-04,form4_cluster_buy,2,6,112600.0,2025-11-03
f4_BPRN_2025-11-06,BPRN,2025-11-06,form4_cluster_buy,2,3,114997.8,2025-11-03
f4_NVCT_2025-11-06,NVCT,2025-11-06,form4_cluster_buy,3,3,168110.0,2025-11-06
f4_AVBC_2025-11-07,AVBC,2025-11-07,form4_cluster_buy,2,4,201181.04,2025-11-06
f4_XZO_2025-11-07,XZO,2025-11-07,form4_cluster_buy,8,8,1869000.0,2025-11-07
f4_FDBC_2025-11-10,FDBC,2025-11-10,form4_cluster_buy,3,3,175819.5,2025-11-10
f4_LENZ_2025-11-10,LENZ,2025-11-10,form4_cluster_buy,2,3,289295.19,2025-11-07
f4_GBFH_2025-11-12,GBFH,2025-11-12,form4_cluster_buy,2,5,859848.92,2025-11-12
f4_WEST_2025-11-12,WEST,2025-11-12,form4_cluster_buy,3,6,570127.82,2025-11-12
f4_ARQ_2025-11-13,ARQ,2025-11-13,form4_cluster_buy,3,4,346047.54,2025-11-12
f4_AVBC_2025-11-13,AVBC,2025-11-13,form4_cluster_buy,2,2,126227.74,2025-11-12
f4_RGP_2025-11-13,RGP,2025-11-13,form4_cluster_buy,2,4,904200.0,2025-11-13
