event_id,ticker,event_ts,event_type,n_insiders,n_filings,total_value,first_filing
f4_ADV_2023-09-08,ADV,2023-09-08,form4_cluster_buy,2,3,133003.18,2023-09-07
f4_DERM_2023-09-08,DERM,2023-09-08,form4_cluster_buy,2,2,288630.88,2023-09-08
f4_FLWS_2023-09-11,FLWS,2023-09-11,form4_cluster_buy,2,2,342450.0,2023-09-11
f4_AEYE_2023-09-18,AEYE,2023-09-18,form4_cluster_buy,2,4,675731.81,2023-09-13
f4_FTCI_2023-09-18,FTCI,2023-09-18,form4_cluster_buy,3,3,150100.0,2023-09-14
f4_GRNT_2023-09-19,GRNT,2023-09-19,form4_cluster_buy,6,6,383548.68,2023-09-15
f4_HURC_2023-09-20,HURC,2023-09-20,form4_cluster_buy,5,5,298336.37,2023-09-15
f4_HPK_2023-09-21,HPK,2023-09-21,form4_cluster_buy,2,4,8446107.85,2023-09-21
f4_TKNO_2023-09-21,TKNO,2023-09-21,form4_cluster_buy,5,6,16749996.2,2023-09-21
f4_MPAA_2023-09-26,MPAA,2023-09-26,form4_cluster_buy,4,10,1132550.0,2023-09-25
f4_CODA_2023-09-29,CODA,2023-09-29,form4_cluster_buy,3,5,1104364.8,2023-09-29
f4_ASTI_2023-10-02,ASTI,2023-10-02,form4_cluster_buy,5,5,384995.52,2023-10-02
f4_CODA_2023-10-10,CODA,2023-10-10,form4_cluster_buy,2,2,197551.2,2023-10-10
f4_TGEN_2023-10-18,TGEN,2023-10-18,form4_cluster_buy,2,3,102750.0,2023-10-13
f4_RMBI_2023-10-26,RMBI,2023-10-26,form4_cluster_buy,5,6,212417.18,2023-10-26
f4_TBI_2023-11-01,TBI,2023-11-01,form4_cluster_buy,4,4,298284.0,2023-10-27
f4_AROW_2023-11-03,AROW,2023-11-03,form4_cluster_buy,5,8,587269.16,2023-10-30
f4_LXFR_2023-11-03,LXFR,2023-11-03,form4_cluster_buy,2,2,148188.95,2023-10-31
f4_BALY_2023-11-07,BALY,2023-11-07,form4_cluster_buy,7,8,692057.0,2023-11-07
f4_COFS_2023-11-07,COFS,2023-11-07,form4_cluster_buy,3,3,214330.9,2023-11-03
f4_TBI_2023-11-07,TBI,2023-11-07,form4_cluster_buy,2,2,126600.0,2023-11-07
f4_PACK_2023-11-08,PACK,2023-11-08,form4_cluster_buy,3,14,497389.6,2023-11-06
f4_AMPY_2023-11-09,AMPY,2023-11-09,form4_cluster_buy,2,2,121462.0,2023-11-08
f4_AURA_2023-11-09,AURA,2023-11-09,form4_cluster_buy,2,7,15474987.3,2023-11-09
