ticker,name,code,shares,price,value,filing_date,transaction_date,tx_id,is_derivative,currency
WNW,HRT FINANCIAL LP,S,-9054.0,3.656,33101.424,2026-05-11,2026-05-08,0001475597-26-000031,False,
WNW,HRT FINANCIAL LP,P,3069.0,3.7,11355.300000000001,2026-05-11,2026-05-07,0001475597-26-000031,False,
OPAD,OHARA RYAN,A,3558.0,0.0,0.0,2026-07-02,2026-06-30,0001193125-26-294544,False,
OPAD,DEGIORGIO KENNETH D,A,4807.0,0.0,0.0,2026-07-02,2026-06-30,0001193125-26-294549,False,
OPAD,Martinez Adam,F,-235.0,4.95,1163.25,2026-06-16,2026-06-12,0001193125-26-272571,False,
OPAD,Knag Peter H,F,-19829.0,0.62,12293.98,2026-06-08,2026-06-05,0001193125-26-261695,False,
OPAD,Knag Peter H,F,-42393.0,0.74,31370.82,2026-06-08,2026-06-04,0001193125-26-261695,False,
OPAD,Martinez Adam,F,-30549.0,0.74,22606.26,2026-06-05,2026-06-04,0001193125-26-259766,False,
OPAD,Bair Brian,F,-91167.0,0.74,67463.58,2026-06-05,2026-06-04,0001193125-26-259758,False,
OPAD,Mathias Tela Gallagher,A,108696.0,0.0,0.0,2026-06-05,2026-06-03,0001193125-26-259797,False,
OPAD,Bair Brian,P,122920.0,0.7924,97401.808,2026-06-05,2026-06-03,0001193125-26-259758,False,
OPAD,Corley Donna M,A,108696.0,0.0,0.0,2026-06-05,2026-06-03,0001193125-26-259712,False,
OPAD,OHARA RYAN,A,108696.0,0.0,0.0,2026-06-05,2026-06-03,0001193125-26-259762,False,
OPAD,DEGIORGIO KENNETH D,A,108696.0,0.0,0.0,2026-06-05,2026-06-03,0001193125-26-259819,False,
OPAD,Bair Brian,P,125000.0,0.8208,102600.0,2026-06-04,2026-06-02,0001193125-26-257987,False,
OPAD,OHARA RYAN,A,32196.0,0.0,0.0,2026-04-01,2026-03-31,0001193125-26-137871,False,
OPAD,DEGIORGIO KENNETH D,A,35984.0,0.0,0.0,2026-04-01,2026-03-31,0001193125-26-137870,False,
OPAD,Mathias Tela Gallagher,A,136364.0,0.0,0.0,2026-02-18,2026-02-13,0001193125-26-057045,False,
OPAD,Curnutte Katherine,A,9297.0,0.0,0.0,2026-01-05,2025-12-31,0001193125-26-002942,False,
OPAD,OHARA RYAN,A,12396.0,0.0,0.0,2026-01-05,2025-12-31,0001193125-26-002971,False,
OPAD,DEGIORGIO KENNETH D,A,14462.0,0.0,0.0,2026-01-05,2025-12-31,0001193125-26-002957,False,
OPAD,Curnutte Katherine,A,2697.0,0.0,0.0,2025-10-02,2025-09-30,0001193125-25-228295,False,
OPAD,Sella Roberto Marco,J,764858.0,0.0,0.0,2025-10-02,2025-09-30,0001193805-25-001400,False,
OPAD,"LL Capital Partners I, L.P.",J,16012.0,0.0,0.0,2025-10-02,2025-09-30,0001193805-25-001398,False,
OPAD,"LL Capital Partners I, L.P.",J,931385.0,0.0,0.0,2025-10-02,2025-09-30,0001193805-25-001398,False,
OPAD,"LL Capital Partners I, L.P.",J,-5816959.0,0.0,0.0,2025-10-02,2025-09-30,0001193805-25-001398,False,
OPAD,OHARA RYAN,A,3597.0,0.0,0.0,2025-10-02,2025-09-30,0001193125-25-228294,False,
OPAD,DEGIORGIO KENNETH D,A,4196.0,0.0,0.0,2025-10-02,2025-09-30,0001193125-25-228298,False,
PED,Howie John K,A,1111.0,11.25,12498.75,2026-08-14,2026-08-12,0001654954-26-007662,False,
PED,DUKES REAGAN TUCK,A,7520.0,0.0,0.0,2026-07-23,2026-07-21,0001654954-26-006837,True,
PED,DUKES REAGAN TUCK,A,17190.0,0.0,0.0,2026-07-23,2026-07-21,0001654954-26-006837,True,
PED,Long Robert Joseph,A,4010.0,0.0,0.0,2026-07-23,2026-07-21,0001654954-26-006836,True,
PED,Long Robert Joseph,A,18050.0,0.0,0.0,2026-07-23,2026-07-21,0001654954-26-006836,True,
PED,Clark Moore,S,-18797.0,14.672,275789.58400000003,2026-07-02,2026-06-30,0001654954-26-006498,False,
PED,Crook Jody D.,A,7020.0,0.0,0.0,2026-06-23,2026-06-22,0001654954-26-006159,True,
PED,Crook Jody D.,A,16050.0,0.0,0.0,2026-06-23,2026-06-22,0001654954-26-006159,True,
PED,Schick John Douglas,A,15220.0,0.0,0.0,2026-06-23,2026-06-22,0001654954-26-006158,True,
PED,Schick John Douglas,A,22830.0,0.0,0.0,2026-06-23,2026-06-22,0001654954-26-006158,True,
PED,Clark Moore,A,5270.0,0.0,0.0,2026-06-23,2026-06-22,0001654954-26-006157,True,
PED,Clark Moore,A,18950.0,0.0,0.0,2026-06-23,2026-06-22,0001654954-26-006157,True,
PED,Willsher Martyn,P,13428.0,14.288,191859.264,2026-05-27,2026-05-26,0001654954-26-005384,False,
PED,Willsher Martyn,P,6572.0,14.739,96864.708,2026-05-27,2026-05-22,0001654954-26-005384,False,
PED,Howie John K,A,782.0,15.98,12496.36,2026-05-01,2026-04-30,0001654954-26-004291,False,
PED,Clark Moore,M,-4546.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001843,True,
PED,Clark Moore,M,45460.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001843,False,
PED,DUKES REAGAN TUCK,C,-9546.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001842,True,
PED,DUKES REAGAN TUCK,C,1022400.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001842,False,
PED,DUKES REAGAN TUCK,C,95460.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001842,False,
PED,Long Robert Joseph,C,-9546.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001841,True,
PED,Long Robert Joseph,C,830700.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001841,False,
PED,Long Robert Joseph,C,95460.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001841,False,
PED,Schick John Douglas,M,-45455.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001839,True,
PED,Schick John Douglas,M,454550.0,0.0,0.0,2026-03-03,2026-02-27,0001654954-26-001839,False,
PED,"Juniper Capital III GP, L.P.",C,-6279371.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023046,True,
PED,"Juniper Capital III GP, L.P.",J,90400.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023046,False,
PED,"Juniper Capital III GP, L.P.",J,-154600.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023046,False,
PED,"Juniper Capital III GP, L.P.",C,62793710.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023046,False,
PED,"Juniper Capital II GP, L.P.",C,-3765822.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023045,True,
PED,"Juniper Capital II GP, L.P.",J,49679.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023045,False,
PED,"Juniper Capital II GP, L.P.",J,-3235117.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023045,False,
PED,"Juniper Capital II GP, L.P.",C,37658222.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023045,False,
PED,"Juniper Capital IV GP, L.P.",C,-3372728.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023044,True,
PED,"Juniper Capital IV GP, L.P.",J,48675.0,0.0,0.0,2026-03-03,2026-02-27,0001213900-26-023044,False,
