date,h,n_long,n_short,long_ret,short_ret,long_short,spy_fwd,beta_roll,ls_hedged
2026-07-14,5,30,30,0.00881,-5e-05,0.00886,-0.0047217957680246725,,0.00886
2026-07-15,5,30,30,0.01692,-0.01003,0.02695,-0.009803824059031574,,0.02695
2026-07-16,5,30,30,0.02116,-0.03188,0.05304,-0.016703935577468076,,0.05304
2026-07-17,5,30,30,0.0256,-0.00607,0.03168,-0.005865793271064512,,0.03168
2026-07-20,5,30,30,0.02113,0.01262,0.00852,-0.004042636191611715,,0.00852
2026-07-21,5,30,30,0.00507,0.04665,-0.04158,-0.009916132537019284,-3.0,-0.07133
2026-07-22,5,30,30,-0.00945,0.05443,-0.06388,-0.024016205050563233,-2.2812,-0.11867
2026-07-23,5,30,30,-0.01312,0.03574,-0.04885,0.0047549510965501085,2.4737,-0.06061
2026-07-24,5,30,30,-0.00642,0.02653,-0.03296,0.010961845778870494,0.1513,-0.03462
2026-07-27,5,30,30,0.00702,0.03114,-0.02412,0.02513896193909937,-0.5069,-0.01138
2026-07-28,5,30,30,0.01111,0.00223,0.00888,0.04112792206454796,-0.532,0.03076
2026-07-29,5,30,30,0.0194,0.00332,0.01608,0.055287411016198496,-0.071,0.02
2026-07-30,5,30,30,0.01695,0.01462,0.00233,0.03622806702091186,0.1401,-0.00275
