date,h,n_long,n_short,long_ret,short_ret,long_short,spy_fwd,beta_roll,ls_hedged
2026-08-06,5,30,30,0.00649,0.03978,-0.03329,0.0121265839411688,,-0.03329
2026-08-07,5,30,30,0.00298,0.00729,-0.00431,0.0039831583826213,,-0.00431
2026-08-10,5,30,30,-0.00282,-0.00284,2e-05,-0.0004657598968648,,2e-05
2026-08-11,5,30,30,0.00529,0.00937,-0.00408,-0.0040360067501765,,-0.00408
2026-08-12,5,30,30,0.01637,-0.00391,0.02027,-0.0044401775028056,,0.02027
2026-08-13,5,30,30,0.00237,-0.00321,0.00558,-0.0196431701560151,-2.4185,-0.04193
2026-08-14,5,30,30,0.01644,-0.00313,0.01958,-0.0136796452391613,,0.01958
2026-08-17,5,30,30,0.02354,0.01144,0.01209,-0.0119067809161949,-1.8247,-0.00964
2026-08-18,5,30,30,0.01353,0.01237,0.00116,-0.002006696251227,-1.2411,-0.00133
2026-08-19,5,30,30,-0.01119,-0.00822,-0.00297,-0.0038748348350063,-1.2341,-0.00775
2026-08-20,5,30,30,-0.00448,0.01845,-0.02293,0.0111460795595608,-1.2373,-0.00914
2026-08-24,5,30,30,-0.00431,0.00704,-0.01136,0.0046891393600545,-1.3182,-0.00518
2026-08-25,5,30,30,0.00765,-0.00747,0.01511,-0.0053922053406619,-1.3139,0.00803
2026-08-26,5,30,30,0.00814,-0.00532,0.01346,-0.0012009763011538,-1.3586,0.01183
2026-08-27,5,30,30,0.01222,-0.02068,0.0329,0.0026844863049642065,-1.3393,0.0365
