entry_date,scored_date,long_ret,short_ret,long_short,n_long,n_short
2026-06-01,2026-06-18,-0.07797,-0.05948,-0.01849,9,8
2026-06-02,2026-06-18,-0.06312,-0.01183,-0.05129,9,5
2026-06-03,2026-06-23,-0.00816,0.01336,-0.02151,10,7
2026-06-04,2026-06-23,0.02557,-0.01933,0.0449,6,5
2026-06-05,2026-06-25,0.16168,0.00817,0.15351,5,10
2026-06-06,2026-06-26,0.0915,0.03391,0.05759,5,10
2026-06-08,2026-06-29,0.05311,-0.00674,0.05985,6,14
2026-06-09,2026-06-29,0.06169,0.00823,0.05347,6,10
2026-06-07,2026-06-30,0.051,0.01765,0.03335,9,18
2026-06-10,2026-06-30,0.1009,-0.00362,0.10452,7,12
2026-06-11,2026-06-30,-0.00384,-0.04238,0.03854,5,6
2026-06-12,2026-07-02,-0.02986,-0.07093,0.04107,7,10
2026-06-14,2026-07-03,-0.01081,-0.10415,0.09334,8,10
2026-06-15,2026-07-03,-0.02218,-0.11526,0.09308,8,9
