date,n,rank_ic
2026-05-12,121,-0.2152
2026-05-13,277,-0.2523
2026-05-14,277,-0.2173
2026-05-21,276,-0.1918
2026-05-22,276,0.0768
2026-05-23,270,0.0395
2026-05-25,267,-0.0485
2026-05-27,276,0.0488
2026-05-28,276,-0.027
2026-05-29,276,0.0115
2026-05-30,276,0.0046
2026-05-31,276,-0.0014
2026-06-01,276,0.0791
2026-06-02,276,-0.0409
2026-06-03,276,-0.0107
2026-06-04,276,0.0498
2026-06-05,276,-0.0177
2026-06-06,276,-0.0057
2026-06-07,276,-0.1069
2026-06-08,276,-0.082
2026-06-09,276,-0.1702
2026-06-10,276,-0.0437
2026-06-11,276,-0.0612
2026-06-12,276,0.0216
2026-06-14,276,0.047
2026-06-15,276,0.0647
2026-06-16,276,0.0168
2026-06-17,276,0.0893
2026-06-18,276,-0.0114
2026-06-19,276,0.0341
2026-06-20,276,-0.0153
2026-06-22,276,0.0508
2026-06-23,276,0.0171
2026-06-24,276,-0.0777
2026-06-25,276,-0.0749
2026-06-26,276,0.1158
2026-06-27,276,-0.0002
2026-06-29,276,-0.0421
