date,n,decile,target_session,long_short,spy_oc,beta_roll,ls_hedged
2026-07-11,275,27,2026-07-13,0.0117,-0.004385540847411051,,0.0117
2026-07-13,277,27,2026-07-14,0.01265,0.0012252386813558225,,0.01265
2026-07-14,275,27,2026-07-15,-0.00568,0.0007557373403677126,,-0.00568
2026-07-15,275,27,2026-07-16,0.01338,-0.0027100789574823203,,0.01338
2026-07-16,276,27,2026-07-17,-0.01197,0.0016304992852995692,,-0.01197
2026-07-17,276,27,2026-07-20,-0.00683,-0.006652706234260952,-2.8355,-0.02569
2026-07-20,276,27,2026-07-21,0.0057,0.0026665925151394543,-0.4801,0.00698
2026-07-21,276,27,2026-07-22,-0.01014,0.0010580724230668803,-0.2011,-0.00993
2026-07-22,276,27,2026-07-23,-0.0007,-0.0016094816523054556,-0.4947,-0.0015
2026-07-23,276,27,2026-07-27,-0.00039,-0.00781295256995207,-0.4748,-0.0041
2026-07-24,276,27,2026-07-27,0.00546,-0.00781295256995207,-0.2417,0.00357
2026-07-27,276,27,2026-07-28,0.00153,0.0022592065702196074,-0.356,0.00233
2026-07-28,276,27,2026-07-29,0.00231,-0.014203209787664872,-0.3122,-0.00212
2026-07-29,276,27,2026-07-30,0.00071,0.00766254295492752,-0.2115,0.00233
2026-07-30,276,27,2026-07-31,-0.01623,0.0031557671002406806,-0.1745,-0.01568
2026-07-31,276,27,2026-08-03,-0.00543,0.010981506780982642,-0.3546,-0.00154
2026-08-03,276,27,2026-08-04,-0.00573,0.014067302286713934,-0.3756,-0.00045
2026-08-04,276,27,2026-08-05,-0.00174,-0.007810785266851528,-0.3734,-0.00466
2026-08-05,276,27,2026-08-06,0.00464,-0.002142304523429117,-0.3383,0.00392
2026-08-06,276,27,2026-08-07,-0.00027,0.002905229666717135,-0.3471,0.00074
2026-08-07,276,27,2026-08-10,-0.00156,0.00055663179462484,-0.3424,-0.00137
2026-08-10,275,27,2026-08-11,-0.00146,-0.005125729911189203,-0.2897,-0.00294
2026-08-11,275,27,2026-08-12,0.00898,-0.0028656293004036826,-0.3056,0.0081
2026-08-12,275,27,2026-08-13,-0.00114,0.0038845351924741145,-0.3257,0.00013
2026-08-13,275,27,2026-08-14,-0.00234,-0.0028257395046676903,-0.2823,-0.00314
2026-08-14,275,27,2026-08-17,-0.00928,-0.004522159549004479,-0.2559,-0.01044
2026-08-17,276,27,2026-08-18,0.00129,-0.001626121998373753,-0.2644,0.00086
2026-08-18,276,27,2026-08-19,-0.01408,-0.0016875069028611245,-0.2966,-0.01458
2026-08-19,276,27,2026-08-20,0.00161,-0.004386712478890553,-0.2657,0.00044
2026-08-20,276,27,2026-08-21,-0.00153,-0.00043080359650493616,-0.2747,-0.00165
