date,n,rank_ic
2026-07-11,275,0.12277
2026-07-13,276,0.04474
2026-07-14,275,-0.00444
2026-07-15,275,0.08652
2026-07-16,276,-0.05677
2026-07-17,276,-0.10049
2026-07-20,276,-0.00426
2026-07-21,276,-0.11039
2026-07-22,276,0.01312
2026-07-23,276,0.036
2026-07-24,276,0.04478
2026-07-27,276,0.01671
2026-07-28,276,-0.04845
2026-07-29,276,0.00671
2026-07-30,276,-0.07934
2026-07-31,276,0.05234
2026-08-03,276,0.0454
2026-08-04,276,-0.11895
2026-08-05,276,0.03961
2026-08-06,276,-0.02981
2026-08-07,276,-0.0138
2026-08-10,275,0.00068
2026-08-11,275,0.08118
2026-08-12,275,-0.03306
2026-08-13,275,-0.0387
2026-08-14,275,-0.00037
2026-08-17,276,-0.00395
2026-08-18,276,-0.20887
2026-08-19,276,-0.01225
2026-08-20,276,-0.06762
2026-08-21,275,-0.03816
2026-08-24,274,-0.06709
2026-08-25,275,0.01553
