date,pair,side,days_held,cum_pnl,exit_reason
2026-07-01,PFE/BMY,1,1,169.02,decointegrated
2026-07-01,PFE/AMGN,1,1,-153.07,decointegrated
2026-07-06,PFE/BMY,1,1,45.82,decointegrated
2026-07-06,MU/KLAC,1,1,329.9,reversion
2026-07-06,PFE/AMGN,1,1,-423.44,decointegrated
2026-07-11,NVDA/AMD,1,6,392.15,reversion
2026-07-15,AAPL/META,-1,4,-311.57,decointegrated
2026-07-23,PFE/GILD,1,14,429.71,reversion
2026-07-27,AAPL/META,-1,3,-843.8,decointegrated
2026-07-29,AAPL/META,-1,1,-140.2,decointegrated
2026-08-20,KO/SBUX,-1,17,-286.92,decointegrated
2026-08-27,DDOG/CRWD,1,15,-549.5,time_stop
2026-08-28,MU/KLAC,-1,22,-1708.42,decointegrated
2026-08-31,NVDA/INTC,-1,16,-1006.32,time_stop
2026-08-31,DDOG/CRWD,1,2,-647.74,decointegrated
2026-09-02,DDOG/CRWD,1,1,-193.3,decointegrated
2026-09-03,JNJ/MRK,1,10,302.82,reversion
