date,book_return,gross_pnl,cost,net_pnl,n_open,n_entries,n_exits
2026-06-30,-0.0005,0.0,40.0,-40.0,4,4,0
2026-07-06,-0.00318622,-214.9,40.0,-254.9,2,1,3
2026-07-07,0.00439865,351.89,0.0,351.89,2,0,0
2026-07-08,0.00376478,301.18,0.0,301.18,2,0,0
2026-07-09,-0.00863976,-691.18,0.0,-691.18,2,0,0
2026-07-10,0.00872611,708.09,10.0,698.09,3,1,0
2026-07-11,-0.00107432,-75.95,10.0,-85.95,2,0,1
2026-07-13,-0.00040159,-32.13,0.0,-32.13,2,0,0
2026-07-14,-0.00140886,-112.71,0.0,-112.71,2,0,0
2026-07-15,-0.00061957,-39.57,10.0,-49.57,1,0,1
2026-07-16,0.00116474,93.18,0.0,93.18,1,0,0
2026-07-17,-0.003765,-301.2,0.0,-301.2,1,0,0
2026-07-20,0.00196791,157.43,0.0,157.43,1,0,0
2026-07-21,0.00327937,262.35,0.0,262.35,1,0,0
2026-07-22,-0.00079938,-53.95,10.0,-63.95,2,1,0
2026-07-23,-0.00276751,-211.4,10.0,-221.4,1,0,1
2026-07-24,0.00066029,52.82,0.0,52.82,1,0,0
2026-07-27,-0.00731487,-575.19,10.0,-585.19,0,0,1
2026-07-28,-0.00025,0.0,20.0,-20.0,2,2,0
2026-07-29,-0.0034571,-256.57,20.0,-276.57,2,1,1
2026-07-30,0.00116682,93.35,0.0,93.35,2,0,0
2026-07-31,0.00370392,296.31,0.0,296.31,2,0,0
2026-08-03,-0.00139993,-111.99,0.0,-111.99,2,0,0
2026-08-04,-0.00242561,-194.05,0.0,-194.05,2,0,0
2026-08-05,-0.00192142,-153.71,0.0,-153.71,2,0,0
2026-08-06,0.0028904,241.23,10.0,231.23,3,1,0
2026-08-07,0.00300176,250.14,10.0,240.14,4,1,0
2026-08-10,-0.00583589,-456.87,10.0,-466.87,5,1,0
2026-08-11,0.01291106,1032.88,0.0,1032.88,5,0,0
2026-08-12,-0.00264182,-211.35,0.0,-211.35,5,0,0
2026-08-13,0.00427762,352.21,10.0,342.21,6,1,0
2026-08-14,-0.00752752,-602.2,0.0,-602.2,6,0,0
