cik,ticker,all_tickers,issuer_edgar,name_source,name_match,form,form25_date,exchange_now,first_bar,last_bar,bars_total,bars_after_form25,status
1614067,ARDS,ARDS,"Aridis Pharmaceuticals, Inc.","Aridis Pharmaceuticals, Inc.",True,25-NSE,2023-09-08,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,751,otc-continuation
1845149,CBRG,CBRG|CBRGF|CBRGU,Chain Bridge I,Leverage Shares 2X Long CBRS Daily ETF,False,25-NSE,2023-09-08,Cboe US,2026-05-15,2026-09-04,78,78,identity-mismatch
1868269,LATG,LATG|LATGF|LATGU,LatAmGrowth SPAC,,False,25-NSE,2023-09-08,http:404,,,0,0,no-data
1551986,NMTRQ,NMTRQ,"9 METERS BIOPHARMA, INC.","9 Meters Biopharma, Inc.",True,25-NSE,2023-09-08,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,751,otc-continuation
1018735,NYMXF,NYMXF,NYMOX PHARMACEUTICAL CORP,Nymox Pharmaceutical Corporation,True,25-NSE,2023-09-08,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,751,otc-continuation
1801602,SBIG,SBIG|SBIGW,"SpringBig Holdings, Inc.","SpringBig Holdings, Inc.",True,25-NSE,2023-09-08,OTC Markets OTCQB,2021-09-07,2026-09-04,1255,751,otc-continuation
1597313,VRAYQ,VRAYQ,"ViewRay, Inc.","ViewRay Systems, Inc.",True,25-NSE,2023-09-08,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,751,otc-continuation
716006,YELLQ,YELLQ,Yellow Corp,,False,25-NSE,2023-09-08,http:404,,,0,0,no-data
1725134,DMSL,DMSL,"Digital Media Solutions, Inc.",,False,25-NSE,2023-10-10,http:404,,,0,0,no-data
1717556,BBIG,BBIG,"Vinco Ventures, Inc.","Vinco Ventures, Inc.",True,25-NSE,2023-10-12,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,727,otc-continuation
1340476,DESLF,DESLF|DRTTF,DIRTT ENVIRONMENTAL SOLUTIONS LTD,,False,25-NSE,2023-10-12,http:404,,,0,0,no-data
834285,FRBK,FRBK|FRBKQ,REPUBLIC FIRST BANCORP INC,,False,25-NSE,2023-10-12,http:404,,,0,0,no-data
1760764,GMVDF,GMVDF,G Medical Innovations Holdings Ltd.,G Medical Innovations Holdings Ltd,True,25-NSE,2023-10-12,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,727,otc-continuation
1756499,MCLDF,MCLDF,mCloud Technologies Corp.,mCloud Technologies Corp.,True,25-NSE,2023-10-12,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,727,otc-continuation
1777765,VQSSF,VQSSF,VIQ Solutions Inc.,VIQ Solutions Inc.,True,25-NSE,2023-10-12,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,727,otc-continuation
884247,YVRLF,YVRLF,Liquid Media Group Ltd.,Liquid Media Group Ltd.,True,25-NSE,2023-10-12,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,727,otc-continuation
810509,NAVB,NAVB,"NAVIDEA BIOPHARMACEUTICALS, INC.",,False,25-NSE,2023-10-23,http:404,,,0,0,no-data
1804583,RAASY,RAASY,Cloopen Group Holding Ltd,Cloopen Group Holding Limited,True,25-NSE,2023-10-25,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,718,otc-continuation
1067837,AUDAQ,AUDAQ,"AUDACY, INC.",,False,25-NSE,2023-10-30,http:404,,,0,0,no-data
1810140,POLCQ,POLCQ,Polished.com Inc.,Polished.com Inc.,True,25-NSE,2023-10-30,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,715,otc-continuation
1633438,AZREF,AZREF,Azure Power Global Ltd,Azure Power Global Limited,True,25-NSE,2023-10-31,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,714,otc-continuation
84129,RADCQ,RADCQ,RITE AID CORP,,False,25-NSE,2023-10-31,http:404,,,0,0,no-data
1862068,RBTC,RBTC|RBTCW,"Rubicon Technologies, Inc.",,False,25-NSE,2023-10-31,http:404,,,0,0,no-data
1840780,LOCL,LOCL|LOCLW,Local Bounti Corporation/DE,Local Bounti Corporation,True,25-NSE,2023-11-02,NYSE,2021-09-07,2026-09-04,1255,712,still-listed
1774675,SKIL,SKIL|SKILW,Skillsoft Corp.,Skillsoft Corp.,True,25-NSE,2023-11-09,NYSE,2021-09-07,2026-09-04,1255,707,still-listed
1826889,BODI,BODI|BODYW,"Beachbody Company, Inc.","The Beachbody Company, Inc.",True,25-NSE,2023-11-13,NasdaqCM,2021-09-07,2026-09-04,1255,705,still-listed
1617669,UFABQ,UFABQ,"Unique Fabricating, Inc.","Unique Fabricating, Inc.",True,25-NSE,2023-11-13,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,705,otc-continuation
1044378,BIOCQ,BIOCQ,BIOCEPT INC,"Biocept, Inc.",True,25-NSE,2023-11-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,700,otc-continuation
1829966,EBET,EBET,"EBET, Inc.","EBET, Inc.",True,25-NSE,2023-11-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,700,otc-continuation
1865697,GGAAF,GGAAF,Genesis Growth Tech Acquisition Corp.,NeuroMind AI Corp.,False,25-NSE,2023-11-20,OTC Markets OTCPK,2022-02-03,2026-09-04,1151,700,identity-mismatch
1113148,INFIQ,INFIQ,"INFINITY PHARMACEUTICALS, INC.","Infinity Pharmaceuticals, Inc.",True,25-NSE,2023-11-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,700,otc-continuation
1792581,KRBP,KRBP,"Kiromic Biopharma, Inc.",,False,25-NSE,2023-11-20,http:404,,,0,0,no-data
1606745,LTRPA,LTRPA|LTRPB,"Liberty TripAdvisor Holdings, Inc.",,False,25-NSE,2023-11-20,http:404,,,0,0,no-data
1807983,MDNAF,MDNAF,Medicenna Therapeutics Corp.,Medicenna Therapeutics Corp.,True,25-NSE,2023-11-20,OTC Markets OTCQX,2021-09-07,2026-09-04,1255,700,otc-continuation
1825024,OPAD,OPAD|OPADW,Offerpad Solutions Inc.,Offerpad Solutions Inc.,True,25-NSE,2023-11-20,NasdaqCM,2021-09-07,2026-09-04,1255,700,still-listed
1136174,OTRK,OTRK|OTRKP,"Ontrak, Inc.",,False,25-NSE,2023-11-20,http:404,,,0,0,no-data
1063537,RIBT,RIBT,RiceBran Technologies,RiceBran Technologies,True,25-NSE,2023-11-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,700,otc-continuation
1739426,RVLPQ,RVLPQ,RVL Pharmaceuticals plc,RVL Pharmaceuticals plc,True,25-NSE,2023-11-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,700,otc-continuation
1821075,SFRT,SFRT,"Appreciate Holdings, Inc.","Appreciate Holdings, Inc.",True,25-NSE,2023-11-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,700,otc-continuation
1762322,SFTGQ,SFTGQ,"SHIFT TECHNOLOGIES, INC.",,False,25-NSE,2023-11-20,http:404,,,0,0,no-data
1813658,TMPOQ,TMPOQ,"Tempo Automation Holdings, Inc.","Tempo Automation Holdings, Inc.",True,25-NSE,2023-11-20,OTC Markets OTCPK,2022-11-23,2026-09-04,948,700,otc-continuation
1915403,SATX,SATX|STXYF,SatixFy Communications Ltd.,,False,25-NSE,2023-11-27,http:404,,,0,0,no-data
1610682,USDP,USDP,USD Partners LP,USD Partners LP,True,25-NSE,2023-12-01,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,692,otc-continuation
1862935,CURR,CURR|IFIN,InFinT Acquisition Corp,CURRENC Group Inc.,False,25-NSE,2023-12-13,NasdaqGM,2024-09-03,2026-09-04,504,504,identity-mismatch
1839608,GETR,GETR|GETRW,"Getaround, Inc","Getaround, Inc.",True,25-NSE,2023-12-13,OTC Markets OTCPK,2022-12-09,2026-09-04,937,684,otc-continuation
1770141,UPHL,UPHL,"UpHealth, Inc.","UpHealth, Inc.",True,25-NSE,2023-12-13,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,684,otc-continuation
1253176,VAPO,VAPO,VAPOTHERM INC,,False,25-NSE,2023-12-18,http:404,,,0,0,no-data
1885461,SUAC,SUAC|SUACU|SUACW,ShoulderUP Technology Acquisition Corp.,,False,25-NSE,2023-12-19,http:404,,,0,0,no-data
1814215,BURU,BURU|BURUW,"Nuburu, Inc.","Nuburu, Inc.",True,25-NSE,2023-12-20,OTC Markets OTCPK,2023-02-01,2026-09-04,902,679,otc-continuation
1740915,FTCHQ,FTCHQ,Farfetch Ltd,Farfetch Limited,True,25-NSE,2023-12-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,679,otc-continuation
1861449,BRDSQ,BRDSQ,"Bird Global, Inc.",,False,25-NSE,2023-12-21,http:404,,,0,0,no-data
1827871,ELIQQ,ELIQQ,"Electriq Power Holdings, Inc.","Electriq Power Holdings, Inc.",True,25-NSE,2023-12-21,OTC Markets OTCPK,2023-08-01,2026-09-04,778,678,otc-continuation
1855457,KORE,KORE|KORGW,"KORE Group Holdings, Inc.",Kore Group Holdings Inc,True,25-NSE,2023-12-21,NYSE,2026-07-17,2026-09-04,36,36,still-listed
1835817,NSTC,NSTC,Northern Star Investment Corp. III,,False,25-NSE,2023-12-21,http:404,,,0,0,no-data
1835814,NSTD,NSTD,Northern Star Investment Corp. IV,,False,25-NSE,2023-12-21,http:404,,,0,0,no-data
1790625,AGILQ,AGILQ,"AgileThought, Inc.","AgileThought, Inc.",True,25-NSE,2023-12-27,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,675,otc-continuation
