cik,ticker,all_tickers,issuer_edgar,name_source,name_match,form,form25_date,exchange_now,first_bar,last_bar,bars_total,bars_after_form25,status
1075736,CXDO,CXDO,"Crexendo, Inc.","Crexendo, Inc.",True,25,2015-01-02,NasdaqCM,2021-09-07,2026-09-04,1255,1255,still-listed
1114446,AMNA,AMNA|AMND|AMTR|AMUB|BDCX|BDCZ|CEFD|DJCB|ESUS|FEDL|HDLB|IFED|IWDL|IWFL|IWML|MLPB,UBS AG,ETRACS Alerian Midstream Energy Index ETN,False,25,2015-01-07,NYSEArca,2021-09-07,2026-09-04,1255,1255,identity-mismatch
720672,SF,SF|SFB|SF-PB|SF-PC|SF-PD,STIFEL FINANCIAL CORP,Stifel Financial Corp.,True,25-NSE,2015-01-20,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
814052,TEF,TEF|TEFOF,TELEFONICA S A,,False,25-NSE,2015-01-20,http:404,,,0,0,no-data
1020569,IRM,IRM,IRON MOUNTAIN INC,Iron Mountain Incorporated,True,25-NSE,2015-01-23,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
70858,BAC,BAC|BAC-PB|BAC-PE|BAC-PK|BAC-PL|BAC-PM|BAC-PN|BAC-PO|BAC-PP|BML-PG|BML-PH|BML-PJ|BML-PL,BANK OF AMERICA CORP /DE/,Bank of America Corporation,True,25-NSE,2015-02-03,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
895421,MS,MS|MS-PA|MS-PE|MS-PF|MS-PI|MS-PK|MS-PL|MS-PO|MS-PP|MS-PQ|MSTLW,MORGAN STANLEY,Morgan Stanley,True,25-NSE,2015-02-03,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1364479,HRI,HRI,HERTZ GLOBAL HOLDINGS INC,Herc Holdings Inc.,False,25-NSE,2015-02-04,NYSE,2021-09-07,2026-09-04,1255,1255,identity-mismatch
899782,NOM,NOM,NUVEEN MISSOURI PREMIUM INCOME MUNICIPAL FUND,,False,25-NSE,2015-02-10,http:404,,,0,0,no-data
1087786,NXJ,NXJ,NUVEEN NEW JERSEY DIVIDEND ADVANTAGE MUNICIPAL FUND,,False,25-NSE,2015-02-10,http:404,,,0,0,no-data
1119639,PBR,PBR|PBR-A,PETROBRAS - PETROLEO BRASILEIRO SA,Petróleo Brasileiro S.A. - Petrobras,True,25-NSE,2015-02-20,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1159508,DB,DB|DGP|DGZ|DZZ|ADZCF|DEENF|OLOXF,DEUTSCHE BANK AKTIENGESELLSCHAFT,Deutsche Bank Aktiengesellschaft,True,25-NSE,2015-02-23,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
33185,EFX,EFX,EQUIFAX INC,Equifax Inc.,True,25-NSE,2015-02-23,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1413329,PM,PM,Philip Morris International Inc.,Philip Morris International Inc.,True,25-NSE,2015-03-03,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1287750,ARCC,ARCC,ARES CAPITAL CORP,Ares Capital Corporation,True,25-NSE,2015-03-17,NasdaqGS,2021-09-07,2026-09-04,1255,1255,still-listed
844150,NWG,NWG|RBSPF,ROYAL BANK OF SCOTLAND GROUP PLC,NatWest Group plc,False,25-NSE,2015-03-17,NYSE,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1515156,ARQ,ARQ,"Advanced Emissions Solutions, Inc.","Arq, Inc.",False,25-NSE,2015-03-20,NasdaqGM,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1065059,LEU,LEU,CENTRUS ENERGY CORP,Centrus Energy Corp.,True,25,2015-03-23,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1406587,FOR,FOR,Forestar Group Inc.,Forestar Group Inc.,True,25-NSE,2015-03-25,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1004315,NGG,NGG|NEWEN|NGGTF|NMKBP|NMKCP|NMPWP,NATIONAL GRID PLC,National Grid plc,True,25-NSE,2015-03-25,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1543989,USA,USA,Rio Tinto Finance,Liberty All-Star Equity Fund,False,25-NSE,2015-03-25,NYSE,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1479247,CPER,CPER|USCI,United States Commodity Index Funds Trust,"United States Copper Index Fund, LP",True,25-NSE,2015-03-31,NYSEArca,2021-09-07,2026-09-04,1255,1255,still-listed
314808,VAL,VAL|VAL-WT,Ensco plc,Valaris Limited,False,25-NSE,2015-04-14,NYSE,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1324404,CF,CF,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",True,25-NSE,2015-04-15,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
879526,WNC,WNC,WABASH NATIONAL CORP /DE,Wabash National Corporation,True,25-NSE,2015-04-15,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1042046,AFG,AFG|AFGB|AFGC|AFGD|AFGE,AMERICAN FINANCIAL GROUP INC,"American Financial Group, Inc.",True,25,2015-04-16,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
732717,T,T|TBB|TBC|T-PA|T-PC,AT&T INC.,AT&T Inc.,True,25-NSE,2015-04-28,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1453593,XTNT,XTNT,"Bacterin International Holdings, Inc.","Xtant Medical Holdings, Inc.",False,25-NSE,2015-05-06,NYSE American,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1410098,CRMD,CRMD,CorMedix Inc.,CorMedix Inc.,True,25-NSE,2015-05-13,NasdaqGM,2021-09-07,2026-09-04,1255,1255,still-listed
1393311,PSA,PSA|PSA-PF|PSA-PG|PSA-PH|PSA-PI|PSA-PJ|PSA-PK|PSA-PL|PSA-PM|PSA-PN|PSA-PO|PSA-PP|PSA-PQ,Public Storage,Public Storage,True,25-NSE,2015-05-13,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1010086,SIGA,SIGA,SIGA TECHNOLOGIES INC,"SIGA Technologies, Inc.",True,25-NSE,2015-05-21,NasdaqGM,2021-09-07,2026-09-04,1255,1255,still-listed
758743,VIDE,VIDE,VIDEO DISPLAY CORP,Video Display Corporation,True,25-NSE,2015-05-21,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,1255,otc-continuation
1287032,PSEC,PSEC,PROSPECT CAPITAL CORP,Prospect Capital Corporation,True,25-NSE,2015-05-22,NasdaqGS,2021-09-07,2026-09-04,1255,1255,still-listed
912242,MAC,MAC,MACERICH CO,The Macerich Company,True,25-NSE,2015-05-27,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1409375,OESX,OESX,"ORION ENERGY SYSTEMS, INC.","Orion Energy Systems, Inc.",True,25,2015-06-15,NasdaqCM,2021-09-07,2026-09-04,1255,1255,still-listed
59478,LLY,LLY,LILLY ELI & CO,Eli Lilly and Company,True,25-NSE,2015-06-16,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1103982,MDLZ,MDLZ,"Mondelez International, Inc.","Mondelez International, Inc.",True,25-NSE,2015-06-16,NasdaqGS,2021-09-07,2026-09-04,1255,1255,still-listed
1031093,SVBL,SVBL,"SILVER BULL RESOURCES, INC.","Silver Bull Resources, Inc.",True,25,2015-06-16,OTC Markets OTCQB,2021-09-07,2026-09-04,1255,1255,otc-continuation
1379785,BBDC,BBDC,Triangle Capital CORP,"Barings BDC, Inc.",False,25-NSE,2015-06-22,NYSE,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1415311,AGQ,AGQ|EUO|GLL|SCO|UCO|UGL|ULE|YCL|YCS|ZSL|BOIL|KOLD|SVXY|UVXY|VIXM|VIXY,ProShares Trust II,ProShares Ultra Silver,True,25-NSE,2015-06-30,NYSEArca,2021-09-07,2026-09-04,1255,1255,still-listed
1126328,PFG,PFG,PRINCIPAL FINANCIAL GROUP INC,"Principal Financial Group, Inc.",True,25-NSE,2015-06-30,NasdaqGS,2021-09-07,2026-09-04,1255,1255,still-listed
1099219,MET,MET|MET-PA|MET-PE|MET-PF,METLIFE INC,"MetLife, Inc.",True,25-NSE,2015-07-01,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1178819,AGI,AGI,ALAMOS GOLD INC,Alamos Gold Inc.,True,25-NSE,2015-07-06,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1053092,GLDI,GLDI|SLVO|USOI,CREDIT SUISSE AG,UBS ETRACS Gold Shares Covered Call ETN,False,25-NSE,2015-07-06,NasdaqGM,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1561680,TPH,TPH,"TRI Pointe Group, Inc.",,False,25-NSE,2015-07-08,http:404,,,0,0,no-data
1357459,PALI,PALI,"Neuralstem, Inc.","Palisade Bio, Inc.",False,25,2015-07-10,NasdaqCM,2021-09-07,2026-09-04,1255,1255,identity-mismatch
1039765,ING,ING|INGVF,ING GROEP NV,ING Groep N.V.,True,25-NSE,2015-07-17,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1160106,LYG,LYG|LLDTF|LLOBF,Lloyds Banking Group plc,Lloyds Banking Group plc,True,25-NSE,2015-07-17,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1590584,CVEO,CVEO,Civeo Corp,Civeo Corporation,True,25-NSE,2015-07-20,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
915840,BZH,BZH,BEAZER HOMES USA INC,"Beazer Homes USA, Inc.",True,25-NSE,2015-07-24,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1178670,ALNY,ALNY,"ALNYLAM PHARMACEUTICALS, INC.","Alnylam Pharmaceuticals, Inc.",True,25,2015-07-27,NasdaqGS,2021-09-07,2026-09-04,1255,1255,still-listed
101829,RTX,RTX,UNITED TECHNOLOGIES CORP /DE/,RTX Corporation,False,25-NSE,2015-08-10,NYSE,2021-09-07,2026-09-04,1255,1255,identity-mismatch
931148,EAF,EAF,GRAFTECH INTERNATIONAL LTD,GrafTech International Ltd.,True,25-NSE,2015-08-17,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
37785,FMC,FMC,FMC CORP,FMC Corporation,True,25,2015-08-24,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
712034,ACCO,ACCO,ACCO BRANDS Corp,ACCO Brands Corporation,True,25-NSE,2015-08-25,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
880984,ACFN,ACFN,"ACORN ENERGY, INC.","Acorn Energy, Inc.",True,25-NSE,2015-08-27,NasdaqCM,2021-09-07,2026-09-04,1255,1255,still-listed
1589526,BLBD,BLBD,Blue Bird Corp,Blue Bird Corporation,True,25-NSE,2015-08-27,NasdaqGM,2021-09-07,2026-09-04,1255,1255,still-listed
1340677,SVM,SVM,SILVERCORP METALS INC,Silvercorp Metals Inc.,True,25,2015-08-31,NYSE American,2021-09-07,2026-09-04,1255,1255,still-listed
753308,NEE,NEE|NEE-PN|NEE-PR|NEE-PS,NEXTERA ENERGY INC,"NextEra Energy, Inc.",True,25-NSE,2015-09-01,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1591670,FPI,FPI,Farmland Partners Inc.,Farmland Partners Inc.,True,25,2015-09-14,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
109380,ZION,ZION|ZIONL|ZIONO|ZIONP,ZIONS BANCORPORATION /UT/,"Zions Bancorporation, National Association",True,25-NSE,2015-09-15,NasdaqGS,2021-09-07,2026-09-04,1255,1255,still-listed
1348952,ELC,ELC,"Entergy Louisiana, LLC","Entergy Louisiana, LLC COLLATERAL TR MT",True,25-NSE,2015-10-02,NYSE,2022-01-07,2026-09-04,1169,1169,still-listed
70502,NRUC,NRUC,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,National Rural Utilities Cooper,True,25-NSE,2015-10-08,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1004434,AMG,AMG|MGR|MGRB|MGRD|MGRE,"AFFILIATED MANAGERS GROUP, INC.","Affiliated Managers Group, Inc.",True,25-NSE,2015-10-23,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1565146,GULTU,GULTU,Gulf Coast Ultra Deep Royalty Trust,Gulf Coast Ultra Deep Royalty Trust,True,25-NSE,2015-10-23,OTC Markets OTCID,2021-09-07,2026-09-04,1255,1255,otc-continuation
1166663,TEN,TEN|TEN-PE|TEN-PF,TSAKOS ENERGY NAVIGATION LTD,Tsakos Energy Navigation Limited,True,25-NSE,2015-10-26,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1283699,TMUS,TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc.",True,25,2015-10-26,NasdaqGS,2021-09-07,2026-09-04,1255,1255,still-listed
1047335,NHC,NHC,NATIONAL HEALTHCARE CORP,National HealthCare Corporation,True,25-NSE,2015-10-30,NYSE American,2021-09-07,2026-09-04,1255,1255,still-listed
842180,BBVA,BBVA|BBVXF,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","Banco Bilbao Vizcaya Argentaria, S.A.",True,25-NSE,2015-11-02,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
886982,GS,GS|GSCE|GS-PA|GS-PC|GS-PD,GOLDMAN SACHS GROUP INC,"The Goldman Sachs Group, Inc.",True,25-NSE,2015-11-03,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
874766,HIG,HIG|HIG-PG,HARTFORD FINANCIAL SERVICES GROUP INC/DE,"The Hartford Insurance Group, Inc.",True,25-NSE,2015-11-09,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1359841,HBI,HBI,Hanesbrands Inc.,,False,25-NSE,2015-11-12,http:404,,,0,0,no-data
97745,TMO,TMO,THERMO FISHER SCIENTIFIC INC.,Thermo Fisher Scientific Inc.,True,25-NSE,2015-11-13,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1306965,SHEL,SHEL|RYDAF,Royal Dutch Shell plc,Shell plc,True,25-NSE,2015-11-16,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
215466,CDE,CDE,"Coeur Mining, Inc.","Coeur Mining, Inc.",True,25-NSE,2015-11-18,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
940944,DRI,DRI,DARDEN RESTAURANTS INC,"Darden Restaurants, Inc.",True,25-NSE,2015-11-20,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
93556,SWK,SWK,"STANLEY BLACK & DECKER, INC.","Stanley Black & Decker, Inc.",True,25-NSE,2015-11-20,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
1129928,ONCY,ONCY,ONCOLYTICS BIOTECH INC,Oncolytics Biotech Inc.,True,25-NSE,2015-11-24,NasdaqCM,2021-09-07,2026-09-04,1255,1255,still-listed
68505,MSI,MSI,"Motorola Solutions, Inc.","Motorola Solutions, Inc.",True,25,2015-11-30,NYSE,2021-09-07,2026-09-04,1255,1255,still-listed
