ticker,description,seed,n_requested,population,drawn_at
A,AGILENT TECHNOLOGIES INC,20260901,0,4956,2026-09-02
AA,ALCOA CORP,20260901,0,4956,2026-09-02
AAC,ARES ACQUISITION CORP CL-A,20260901,0,4956,2026-09-02
AACI,ARMADA ACQ CORP III-A,20260901,0,4956,2026-09-02
AACO,ABONY ACQUISITION CORP I-A,20260901,0,4956,2026-09-02
AACP,APOGEE ACQUISITION CORP -A,20260901,0,4956,2026-09-02
AADX,APPLIED AEROSPACE & DEFENSE,20260901,0,4956,2026-09-02
AAL,AMERICAN AIRLINES GROUP INC,20260901,0,4956,2026-09-02
AAME,ATLANTIC AMERICAN CORP,20260901,0,4956,2026-09-02
AAMI,ACADIAN ASSET MANAGEMENT INC,20260901,0,4956,2026-09-02
AAOI,APPLIED OPTOELECTRONICS INC,20260901,0,4956,2026-09-02
AAON,AAON INC,20260901,0,4956,2026-09-02
AAP,ADVANCE AUTO PARTS INC,20260901,0,4956,2026-09-02
AAPL,APPLE INC,20260901,0,4956,2026-09-02
AARD,AARDVARK THERAPEUTICS INC,20260901,0,4956,2026-09-02
AAUC,ALLIED GOLD CORP,20260901,0,4956,2026-09-02
ABAT,AMERICAN BATTERY TECHNOLOGY,20260901,0,4956,2026-09-02
ABBV,ABBVIE INC,20260901,0,4956,2026-09-02
ABCB,AMERIS BANCORP,20260901,0,4956,2026-09-02
ABCL,ABCELLERA BIOLOGICS INC,20260901,0,4956,2026-09-02
ABEO,ABEONA THERAPEUTICS INC,20260901,0,4956,2026-09-02
ABG,ASBURY AUTOMOTIVE GROUP,20260901,0,4956,2026-09-02
ABLV,ABLE VIEW GLOBAL INC-B,20260901,0,4956,2026-09-02
ABM,ABM INDUSTRIES INC,20260901,0,4956,2026-09-02
ABNB,AIRBNB INC-CLASS A,20260901,0,4956,2026-09-02
ABOS,ACUMEN PHARMACEUTICALS INC,20260901,0,4956,2026-09-02
ABSI,ABSCI CORP,20260901,0,4956,2026-09-02
ABT,ABBOTT LABORATORIES,20260901,0,4956,2026-09-02
ABTC,AMERICAN BITCOIN CORP-A,20260901,0,4956,2026-09-02
ABTS,ABITS GROUP INC,20260901,0,4956,2026-09-02
ABUS,ARBUTUS BIOPHARMA CORP,20260901,0,4956,2026-09-02
ABVC,ABVC BIOPHARMA INC,20260901,0,4956,2026-09-02
ABX,ABACUS GLOBAL MANAGEMENT INC,20260901,0,4956,2026-09-02
ACA,ARCOSA INC,20260901,0,4956,2026-09-02
ACAA,AVERIN CAP ACQUISITIO C CL-A,20260901,0,4956,2026-09-02
ACAD,ACADIA PHARMACEUTICALS INC,20260901,0,4956,2026-09-02
ACB,AURORA CANNABIS INC,20260901,0,4956,2026-09-02
ACCL,ACCO GROUP HOLDINGS LTD- A,20260901,0,4956,2026-09-02
ACCO,ACCO BRANDS CORP,20260901,0,4956,2026-09-02
ACCS,ACCESS NEWSWIRE INC,20260901,0,4956,2026-09-02
ACDC,PROFRAC HOLDING CORP-A,20260901,0,4956,2026-09-02
ACEL,ACCEL ENTERTAINMENT INC,20260901,0,4956,2026-09-02
ACET,ADICET BIO INC,20260901,0,4956,2026-09-02
ACFN,ACORN ENERGY INC,20260901,0,4956,2026-09-02
ACGC,ACP HOLDINGS ACQUISITIO-CL A,20260901,0,4956,2026-09-02
ACGL,ARCH CAPITAL GROUP LTD,20260901,0,4956,2026-09-02
ACH,ACCENDRA HEALTH INC,20260901,0,4956,2026-09-02
ACHC,ACADIA HEALTHCARE CO INC,20260901,0,4956,2026-09-02
ACHR,ARCHER AVIATION INC-A,20260901,0,4956,2026-09-02
