date,ticker,cik,source,price,adv,n_bars
2023-09-30,ABOS,,current,4.15,2928352,335
2023-09-30,ACB,,current,5.85,3010943,335
2023-09-30,ACCO,,current,4.633,2421481,335
2023-09-30,ACEL,,current,10.95,2928387,335
2023-09-30,ACET,,current,21.92,925247,335
2023-09-30,ACIC,,current,6.6658,1543815,335
2023-09-30,ACNB,,current,28.5203,369896,335
2023-09-30,ACTG,,current,3.65,685023,335
2023-09-30,ADV,,current,71.0,903496,335
2023-09-30,AFCG,,current,5.7238,1034913,335
2023-09-30,AFYA,,current,14.9366,2572744,335
2023-09-30,AIRS,,current,6.84,571391,335
2023-09-30,ALCO,,current,24.5246,638152,335
2023-09-30,ALEC,,current,6.48,3061983,335
2023-09-30,ALTG,,current,11.435,2418886,335
2023-09-30,ALTI,,current,6.96,264933,335
2023-09-30,ALVO,,current,9.12,525756,324
2023-09-30,AMBP,1845097,roster,2.3778,2016455,335
2023-09-30,AMPY,,current,7.35,4086536,335
2023-09-30,AMWL,,current,23.4,1857206,335
2023-09-30,ANGI,,current,19.8,1248545,335
2023-09-30,ANIK,,current,18.63,2368663,335
2023-09-30,ANTX,,current,16.08,334729,335
2023-09-30,AOUT,,current,9.78,361294,335
2023-09-30,APCX,1070050,roster,3.295,283456,335
2023-09-30,APYX,,current,3.2,598320,335
2023-09-30,AROW,,current,15.1204,701993,335
2023-09-30,ARTNA,,current,37.7835,1416036,335
2023-09-30,ASIX,,current,28.4763,4535576,335
2023-09-30,ASTI,,current,179.0,402490,277
2023-09-30,ASTL,,current,6.5027,3074426,335
2023-09-30,ASUR,,current,9.46,2367782,335
2023-09-30,ATLO,,current,14.529,332232,335
2023-09-30,ATLX,,current,30.64,1314740,335
2023-09-30,ATNI,,current,27.8493,1104889,335
2023-09-30,ATOM,,current,6.26,1051605,335
2023-09-30,ATRA,,current,37.0,1723939,335
2023-09-30,ATS,,current,42.62,1122371,335
2023-09-30,AUDC,,current,9.0102,1187978,335
2023-09-30,AURA,,current,8.97,497010,335
2023-09-30,AVD,,current,10.8372,2855605,335
2023-09-30,AVIR,,current,3.0,921214,335
2023-09-30,AVNW,,current,31.2,1858066,335
2023-09-30,BARK,,current,24.0,818427,335
2023-09-30,BATRA,,current,39.07,2378771,335
2023-09-30,BBCP,,current,7.6017,410901,335
2023-09-30,BCBP,,current,9.4634,414956,335
2023-09-30,BCLI,1137883,roster,3.0,377883,335
2023-09-30,BCML,,current,17.8181,446740,335
2023-09-30,BCSF,,current,10.9759,2130282,335
2023-09-30,BCTX,,current,62.5,483093,335
2023-09-30,BDTX,,current,2.87,1475787,335
2023-09-30,BHB,,current,20.9454,647011,335
2023-09-30,BIRD,,current,19.4138,1027680,335
2023-09-30,BIVI,,current,341.0,737721,335
2023-09-30,BKSY,1753539,roster,9.36,1043046,335
2023-09-30,BMRC,,current,15.9281,1011056,335
2023-09-30,BNED,,current,108.3139,398634,335
2023-09-30,BOC,,current,16.39,1512903,335
2023-09-30,BOOM,,current,24.47,4067575,335
2023-09-30,BRCC,,current,35.9,2068850,335
2023-09-30,BSRR,,current,17.0339,365901,335
2023-09-30,BSVN,,current,20.9504,417199,335
2023-09-30,BWB,,current,9.48,377376,335
2023-09-30,BWEN,,current,3.2,435760,335
2023-09-30,BWFG,,current,22.6066,256178,335
2023-09-30,BWMN,,current,28.03,1478549,335
2023-09-30,BWMX,,current,12.6901,524877,335
2023-09-30,CAC,,current,24.784,1051636,335
2023-09-30,CASS,,current,34.2849,1415176,335
2023-09-30,CBAN,,current,9.1127,324166,335
2023-09-30,CCAP,,current,12.287,1500029,335
2023-09-30,CCBG,,current,27.7301,673261,335
2023-09-30,CDZI,,current,3.31,937442,335
2023-09-30,CENT,,current,34.5654,1493002,335
2023-09-30,CFFI,,current,49.5913,258106,335
2023-09-30,CGNT,,current,4.81,1246615,335
2023-09-30,CINT,,current,6.5,663885,335
2023-09-30,CION,,current,6.8782,1154814,335
2023-09-30,CIVB,,current,13.9754,316915,335
2023-09-30,CLAR,,current,6.9975,1676215,335
2023-09-30,CLEUF,1775085,roster,4679.9961,858689,335
2023-09-30,CLMB,,current,10.548,797695,335
2023-09-30,CLW,,current,36.25,2668590,335
2023-09-30,CMCL,,current,8.967,528931,335
2023-09-30,CMT,,current,28.49,1481874,335
2023-09-30,CNDA,1851959,roster,10.28,598332,335
2023-09-30,COOK,,current,136.5,1432249,335
2023-09-30,CPS,,current,13.42,2450006,335
2023-09-30,CRCT,,current,7.0203,1681097,335
2023-09-30,CRMT,,current,90.99,4683333,335
2023-09-30,CRNT,,current,2.05,594084,335
2023-09-30,CRON,,current,2.0,4256531,335
2023-09-30,CSV,,current,27.1723,2000475,335
2023-09-30,CTEV,,current,67.2,1777727,335
2023-09-30,CTOS,1709682,roster,6.2,1599402,335
2023-09-30,CUE,,current,69.0,992295,335
2023-09-30,CVEO,,current,19.5088,468669,335
2023-09-30,CVGI,,current,7.76,1826283,335
2023-09-30,CVRX,,current,15.17,1169021,335
2023-09-30,CWCO,,current,27.2124,3166216,335
2023-09-30,CXAI,,current,90.5,2066442,335
2023-09-30,CYH,,current,2.9,3593272,335
2023-09-30,CZFS,,current,43.1282,746681,335
2023-09-30,CZNC,,current,14.8625,271343,335
2023-09-30,DCBO,,current,40.52,1332316,335
2023-09-30,DCFCQ,1862490,roster,60.56,1004182,335
2023-09-30,DGICA,,current,12.4945,328438,335
2023-09-30,DHX,,current,3.06,254466,335
2023-09-30,DIBS,,current,3.64,281951,335
2023-09-30,DLAPQ,1101396,roster,6.63,293130,335
2023-09-30,DLTH,,current,6.01,311810,335
2023-09-30,DMRC,,current,32.49,2550929,335
2023-09-30,DOMO,,current,9.81,4943509,335
2023-09-30,DSGR,,current,26.0,729433,335
2023-09-30,DSP,,current,5.6,494859,335
2023-09-30,DSX,,current,3.0903,1384403,335
2023-09-30,DTIL,,current,10.23,390910,335
2023-09-30,EBF,,current,16.3855,1054564,335
2023-09-30,EFTR,1828522,roster,14.9975,253503,335
2023-09-30,EGAN,,current,6.13,422970,335
2023-09-30,ENTA,,current,11.17,3751821,335
2023-09-30,EOLS,,current,9.14,3502685,335
2023-09-30,EPM,,current,5.2715,2696753,335
2023-09-30,EPSN,,current,4.6663,274344,335
2023-09-30,ESEA,,current,18.5189,590753,335
2023-09-30,EVCM,,current,10.03,799758,335
2023-09-30,EVEX,,current,8.29,416843,335
2023-09-30,EVI,,current,23.9308,461414,335
2023-09-30,EVLO,1694665,roster,3.92,1350432,335
2023-09-30,EVTL,1867102,roster,11.8,512765,335
2023-09-30,EXFY,,current,3.25,2590165,335
2023-09-30,FBIZ,,current,27.9038,277009,335
2023-09-30,FC,,current,42.92,2277097,335
2023-09-30,FCBC,,current,24.7489,856083,335
2023-09-30,FDBC,,current,40.9738,287143,335
2023-09-30,FENC,,current,7.51,395702,335
2023-09-30,FF,,current,4.3499,1419291,335
2023-09-30,FHTX,,current,5.0,370257,335
2023-09-30,FIP,,current,3.0057,896643,302
2023-09-30,FIRY,,current,5.1,2886339,335
2023-09-30,FLD,1889123,roster,10.46,812688,335
2023-09-30,FLL,,current,4.27,533710,335
2023-09-30,FLWS,,current,7.0,2981592,335
2023-09-30,FOR,,current,26.94,4772819,335
2023-09-30,FORR,,current,28.9,1298838,335
2023-09-30,FOSL,,current,2.06,653421,335
2023-09-30,FOXO,1812360,roster,63044.7773,284597,260
2023-09-30,FRBA,,current,10.2109,376261,335
2023-09-30,FRD,,current,13.0691,460913,335
2023-09-30,FRPH,,current,26.985,520581,335
2023-09-30,FRST,,current,7.3522,313844,335
2023-09-30,FSBW,,current,26.9168,314929,335
2023-09-30,FSTR,,current,18.91,355657,335
2023-09-30,FTCI,,current,12.8,3498354,335
2023-09-30,GAIN,,current,8.9469,883645,335
2023-09-30,GASS,,current,5.04,1171674,335
2023-09-30,GCBC,,current,23.0707,268917,335
2023-09-30,GENC,,current,14.13,251289,335
2023-09-30,GEOS,,current,12.95,264681,335
2023-09-30,GFR,,current,4.95,793138,335
2023-09-30,GIC,,current,30.3593,1168535,335
2023-09-30,GLAD,,current,14.6955,1991553,335
2023-09-30,GLRE,,current,10.74,685724,335
2023-09-30,GNE,,current,13.9277,1135992,335
2023-09-30,GPRK,,current,9.0663,1459586,335
2023-09-30,GRNT,,current,4.8382,897801,335
2023-09-30,GSIT,,current,2.71,892527,335
2023-09-30,GTE,,current,6.94,2050184,335
2023-09-30,GWH,1819438,roster,28.2,1656760,335
2023-09-30,HBT,,current,16.424,434699,335
2023-09-30,HCKT,,current,22.1299,1808999,335
2023-09-30,HGTY,,current,8.17,612673,335
2023-09-30,HIPO,,current,7.97,1159999,335
2023-09-30,HLLY,,current,4.99,3607056,335
2023-09-30,HOFT,,current,16.6832,676172,335
2023-09-30,HRZN,,current,7.4886,1654143,335
2023-09-30,HURC,,current,22.0838,313183,335
2023-09-30,HVT,,current,23.9239,2105914,335
2023-09-30,HY,,current,40.4718,2367173,335
2023-09-30,HYPD,,current,132.8,400632,335
2023-09-30,IBEX,,current,15.45,1070955,335
2023-09-30,IFRX,,current,2.98,417516,335
2023-09-30,IGIC,,current,9.4813,599121,335
2023-09-30,IHRT,,current,3.16,3380781,335
2023-09-30,III,,current,3.8423,482149,335
2023-09-30,IMMR,,current,5.9259,1656391,335
2023-09-30,IMRX,,current,7.68,417571,335
2023-09-30,IMTX,,current,11.58,3497382,335
2023-09-30,IMUX,,current,14.7,615816,335
2023-09-30,IMXI,,current,16.93,4286232,335
2023-09-30,INBK,,current,15.8065,646880,335
2023-09-30,INFU,,current,9.64,407150,335
2023-09-30,INGN,,current,5.22,1557299,335
2023-09-30,INMB,,current,6.77,288004,335
2023-09-30,INSE,,current,11.96,880716,335
2023-09-30,INSG,,current,4.2,290114,335
2023-09-30,INTT,,current,15.17,2481625,335
2023-09-30,INVE,,current,8.44,399119,335
2023-09-30,IRD,,current,3.35,537655,335
2023-09-30,JAKK,,current,17.1196,1343173,335
2023-09-30,JILL,,current,28.4125,701789,335
2023-09-30,JOUT,,current,49.356,1602777,335
2023-09-30,JRVR,,current,14.7688,2541718,335
2023-09-30,JYNT,,current,8.99,1148218,335
2023-09-30,KE,,current,27.38,2227446,335
2023-09-30,KELYA,,current,17.0424,2240270,335
2023-09-30,KIDS,,current,32.0,2597664,335
2023-09-30,KLRS,,current,49.45,1756116,335
2023-09-30,KNOP,,current,6.4862,590775,335
2023-09-30,KRNY,,current,5.7305,1390299,335
2023-09-30,KRO,,current,6.8576,1089821,335
2023-09-30,KULR,,current,2.88,256329,335
2023-09-30,KVHI,,current,5.1,463497,335
2023-09-30,KWY,,current,7.55,433114,335
2023-09-30,LAW,,current,6.64,1569257,335
2023-09-30,LCUT,,current,5.1135,306466,335
2023-09-30,LE,,current,7.47,671878,335
2023-09-30,LEGH,,current,19.41,997337,335
2023-09-30,LFCR,,current,7.55,1900728,335
2023-09-30,LFMD,,current,6.25,1689758,335
2023-09-30,LILA,,current,5.5435,1402276,335
2023-09-30,LMNR,,current,14.6877,709553,335
2023-09-30,LNZA,,current,467.0,1019182,335
2023-09-30,LOCO,,current,8.95,3150532,335
2023-09-30,LODE,,current,4.1,318612,335
2023-09-30,LUNG,,current,10.33,1999165,335
2023-09-30,LWAY,,current,10.34,516974,335
2023-09-30,LXFR,,current,11.462,1324290,335
2023-09-30,LYEL,,current,29.4,1368930,335
2023-09-30,LZM,,current,12.27,514779,335
2023-09-30,MAGN,,current,26.0,786123,335
2023-09-30,MASS,,current,6.66,1103514,335
2023-09-30,MBI,,current,3.1452,942358,335
2023-09-30,MCBS,,current,17.8354,336230,335
2023-09-30,MCOM,1788841,roster,8.835,1487761,335
2023-09-30,MDXG,,current,7.29,4202716,335
2023-09-30,MFIN,,current,6.0415,366980,335
2023-09-30,MG,,current,5.45,449332,335
2023-09-30,MGNX,,current,4.66,1481963,335
2023-09-30,MLP,,current,13.25,371817,335
2023-09-30,MLR,,current,37.4553,936798,335
2023-09-30,MMATQ,1431959,roster,21.19,832485,335
2023-09-30,MMI,,current,28.2441,4020524,335
2023-09-30,MNSB,,current,19.2887,255106,335
2023-09-30,MPAA,,current,8.09,1067026,335
2023-09-30,MTA,,current,3.06,576870,335
2023-09-30,MTRX,,current,11.8,688911,335
2023-09-30,MTW,,current,15.05,4046444,335
2023-09-30,MVBF,,current,20.6161,447491,335
2023-09-30,MX,,current,8.31,1550170,335
2023-09-30,MYFW,,current,18.15,265380,335
2023-09-30,NATH,,current,64.5853,443905,335
2023-09-30,NATR,,current,16.57,662350,335
2023-09-30,NCMI,,current,4.2959,1480007,335
2023-09-30,NDLS,,current,19.68,1208369,335
2023-09-30,NECB,,current,13.3436,940649,335
2023-09-30,NEGG,,current,17.0,360677,335
2023-09-30,NERV,,current,6.9,332910,335
2023-09-30,NEWT,,current,12.2557,1917935,335
2023-09-30,NEXN,,current,3.53,372167,335
2023-09-30,NGS,,current,14.2983,264659,335
2023-09-30,NGVC,,current,11.5314,289782,335
2023-09-30,NKSH,,current,21.4744,304863,335
2023-09-30,NMFC,,current,9.1347,2630382,335
2023-09-30,NOA,,current,20.7179,1178952,335
2023-09-30,NOTE,1823466,roster,24.96,2469134,335
2023-09-30,NRC,,current,41.2186,787192,335
2023-09-30,NRDY,,current,55.5,2837630,335
2023-09-30,NRIM,,current,9.0248,1065295,335
2023-09-30,NVCT,,current,12.89,555405,335
2023-09-30,NWFL,,current,22.4531,304639,335
2023-09-30,OABI,,current,5.19,2245066,335
2023-09-30,OBIO,,current,8.72,406508,335
2023-09-30,OBT,,current,20.3211,785831,335
2023-09-30,OFIX,,current,12.86,4446248,335
2023-09-30,OFLX,,current,71.6797,945119,335
2023-09-30,OGG,,current,2.94,260988,335
2023-09-30,OKUR,,current,76.15,783788,335
2023-09-30,ONEW,,current,25.62,2322126,335
2023-09-30,ONIT,,current,25.88,695202,335
2023-09-30,OPAD,,current,9.76,656378,335
2023-09-30,OPRT,,current,7.22,875030,335
2023-09-30,OPRX,,current,7.78,1183581,335
2023-09-30,ORMP,,current,2.4332,495496,335
2023-09-30,ORN,,current,5.36,719815,335
2023-09-30,ORRF,,current,19.1461,280867,335
2023-09-30,OSG,,current,12.06,3883361,335
2023-09-30,OSUR,,current,5.93,2997428,335
2023-09-30,OVID,,current,3.84,401116,335
2023-09-30,OVLY,,current,23.5719,426968,335
2023-09-30,OZ,,current,85.7,299130,335
2023-09-30,PACK,,current,5.44,1630605,335
2023-09-30,PAMT,,current,21.55,267232,335
2023-09-30,PANL,,current,5.0971,817634,335
2023-09-30,PBYI,,current,2.63,418798,335
2023-09-30,PCB,,current,13.7178,306697,335
2023-09-30,PCYO,,current,9.6,523742,335
2023-09-30,PDLB,,current,7.82,442629,335
2023-09-30,PFIS,,current,35.0499,431566,335
2023-09-30,PIII,,current,73.5,585395,335
2023-09-30,PKBK,,current,14.8049,430450,335
2023-09-30,PKOH,,current,18.7338,683526,335
2023-09-30,PMTS,,current,18.52,912289,335
2023-09-30,PNNT,,current,4.1873,1417122,335
2023-09-30,POLCQ,1810140,roster,4.035,316952,335
2023-09-30,POWW,,current,2.02,829815,335
2023-09-30,PSFE,,current,11.99,4273542,335
2023-09-30,QCLS,,current,1776.0,561169,335
2023-09-30,QUAD,,current,4.4315,920953,335
2023-09-30,QUIK,,current,8.6,308327,335
2023-09-30,RBB,,current,11.5521,343978,335
2023-09-30,RBOT,1812173,roster,17.73,404949,335
2023-09-30,RCEL,,current,14.61,2200853,335
2023-09-30,RCKY,,current,13.7899,507958,335
2023-09-30,RCMT,,current,19.54,830029,335
2023-09-30,RDNW,,current,6.13,1230622,335
2023-09-30,RELL,,current,10.2639,1409483,335
2023-09-30,RGCO,,current,15.3886,420819,335
2023-09-30,RGP,,current,12.5451,1704410,335
2023-09-30,RGR,,current,49.7171,3888300,335
2023-09-30,RICK,,current,59.4123,2863282,335
2023-09-30,RJET,,current,12.9,401978,335
2023-09-30,RLGT,,current,5.65,878305,335
2023-09-30,RM,,current,24.6001,931252,335
2023-09-30,RMNI,,current,2.2,1051620,335
2023-09-30,RMR,,current,18.6077,1284431,335
2023-09-30,RNAC,,current,31.8,591773,335
2023-09-30,RNGR,,current,13.4621,1103820,335
2023-09-30,RPAY,,current,7.59,3913734,335
2023-09-30,RPC,,current,11.134,1991632,335
2023-09-30,RRGB,,current,8.04,3556299,335
2023-09-30,RSVR,,current,6.1,392348,335
2023-09-30,RTB,,current,105.7,298382,335
2023-09-30,RVPH,1742927,roster,97.6,588075,335
2023-09-30,RWAY,,current,7.9939,688909,335
2023-09-30,SAMG,,current,13.738,364568,335
2023-09-30,SAR,,current,17.2023,1341428,335
2023-09-30,SBDS,1870600,roster,204.0,2231813,335
2023-09-30,SBSI,,current,24.8933,2757616,335
2023-09-30,SCLX,,current,30.5106,1835580,335
2023-09-30,SCM,,current,9.5225,1040942,335
2023-09-30,SCYX,,current,18.24,802052,335
2023-09-30,SD,,current,12.4868,3456439,335
2023-09-30,SEAT,,current,128.4,3020250,335
2023-09-30,SENS,,current,12.08,3259756,335
2023-09-30,SES,1819142,roster,2.27,1406883,335
2023-09-30,SGHT,,current,3.37,778448,335
2023-09-30,SHBI,,current,9.5325,1222627,335
2023-09-30,SHIP,,current,4.71,350146,335
2023-09-30,SIGA,,current,3.9174,1866420,335
2023-09-30,SLI,,current,2.83,2336682,335
2023-09-30,SLP,,current,41.4438,3686253,335
2023-09-30,SLRC,,current,11.5933,2280239,335
2023-09-30,SMHI,,current,13.88,787150,335
2023-09-30,SMP,,current,30.302,2883419,335
2023-09-30,SMTI,,current,31.13,395275,335
2023-09-30,SONDQ,1819395,roster,8.21,332018,335
2023-09-30,SPOK,,current,10.9774,1885890,335
2023-09-30,SRG,,current,7.74,2568985,335
2023-09-30,SRI,,current,20.07,1600963,335
2023-09-30,SSP,,current,4.1203,2375217,335
2023-09-30,SSTI,,current,17.9,849041,335
2023-09-30,STBXF,1914818,roster,2329.5999,385481,278
2023-09-30,SWIM,,current,2.8,1331472,335
2023-09-30,TASK,,current,6.7648,2908535,335
2023-09-30,TBCH,,current,9.075,1334108,335
2023-09-30,TBI,,current,14.67,2521312,335
2023-09-30,TCBX,,current,17.1,377762,335
2023-09-30,TCPC,,current,7.4387,1614045,335
2023-09-30,TCX,,current,20.41,886094,335
2023-09-30,TG,,current,5.41,1081307,335
2023-09-30,TIPT,,current,15.9512,658763,335
2023-09-30,TITN,,current,26.58,4485695,335
2023-09-30,TLS,,current,2.39,649577,335
2023-09-30,TLYS,,current,8.12,905045,335
2023-09-30,TOP,,current,25.65,1683841,335
2023-09-30,TPVG,,current,6.679,1320742,335
2023-09-30,TRAK,,current,8.6292,256181,335
2023-09-30,TRC,,current,16.22,572157,335
2023-09-30,TRDA,,current,15.8,683932,335
2023-09-30,TSBK,,current,24.5997,419466,335
2023-09-30,TSQ,,current,6.6768,390593,335
2023-09-30,TUSK,,current,4.64,521739,335
2023-09-30,TWI,,current,13.43,3867070,335
2023-09-30,TZOO,,current,5.83,751383,335
2023-09-30,UFI,,current,7.1,549139,335
2023-09-30,UIS,,current,3.45,2249906,335
2023-09-30,ULH,,current,23.9101,786319,335
2023-09-30,UNTY,,current,22.4632,267092,335
2023-09-30,UP,,current,41.4,1699728,335
2023-09-30,USNA,,current,58.61,3733987,335
2023-09-30,UTMD,,current,81.6248,952647,335
2023-09-30,UWMC,1783398,roster,3.8838,4283889,335
2023-09-30,VERU,,current,7.2,899106,335
2023-09-30,VINP,,current,8.4306,558523,335
2023-09-30,VLGEA,,current,20.6196,450853,335
2023-09-30,VLN,1863006,roster,2.66,657927,335
2023-09-30,VMD,,current,6.73,709239,335
2023-09-30,VNDA,,current,4.32,4100266,335
2023-09-30,VRA,,current,6.61,1066187,335
2023-09-30,VTEX,,current,5.01,2196664,335
2023-09-30,VUZI,,current,3.63,2014292,335
2023-09-30,VYGR,,current,7.75,2446882,335
2023-09-30,WBX,1866501,roster,2.25,2132627,335
2023-09-30,WEST,,current,8.86,2063916,335
2023-09-30,WHF,,current,8.4291,368351,335
2023-09-30,WHWK,,current,4.84,706122,335
2023-09-30,WSBF,,current,9.5951,636854,335
2023-09-30,WTBA,,current,14.0902,255716,335
2023-09-30,XFOR,,current,32.7,2500031,335
2023-09-30,XPER,,current,9.86,1651590,259
2023-09-30,YORW,,current,34.8992,1473071,335
2023-10-31,ABOS,,current,2.205,1528933,356
2023-10-31,ACB,,current,4.38,3724806,356
2023-10-31,ACCO,,current,4.0841,2333937,356
2023-10-31,ACEL,,current,9.88,2855164,356
2023-10-31,ACET,,current,20.96,587737,356
2023-10-31,ACIC,,current,6.8016,1945072,356
2023-10-31,ACNB,,current,30.8121,326968,356
2023-10-31,ACTG,,current,3.53,675564,356
2023-10-31,ADV,,current,56.25,907554,356
2023-10-31,AFCG,,current,5.2216,996078,356
2023-10-31,AFYA,,current,15.3526,2333686,356
2023-10-31,AIRS,,current,5.98,495803,356
2023-10-31,ALCO,,current,23.6697,569823,356
2023-10-31,ALEC,,current,5.16,3152008,356
2023-10-31,ALTG,,current,8.8464,2149553,356
2023-10-31,AMBP,1845097,roster,2.6209,1812004,356
2023-10-31,AMPY,,current,7.02,3637750,356
2023-10-31,AMWL,,current,22.6,1562094,356
2023-10-31,ANGI,,current,16.4,942187,356
2023-10-31,ANIK,,current,18.99,2457553,356
2023-10-31,ANTX,,current,14.66,546510,356
2023-10-31,AOUT,,current,8.35,292225,356
2023-10-31,APCX,1070050,roster,2.28,366413,356
2023-10-31,APYX,,current,2.29,400294,356
2023-10-31,AROW,,current,19.207,750331,356
2023-10-31,ARTNA,,current,35.5069,1217012,356
2023-10-31,ASIX,,current,25.6268,4007782,356
2023-10-31,ASTI,,current,82.3,497450,298
2023-10-31,ASTL,,current,6.8183,2656484,356
2023-10-31,ASUR,,current,8.32,2325733,356
2023-10-31,ATLO,,current,14.9231,302334,356
2023-10-31,ATLX,,current,21.96,1322753,356
2023-10-31,ATNI,,current,26.0579,1237740,356
2023-10-31,ATOM,,current,6.16,860543,356
2023-10-31,ATRA,,current,32.25,1510486,356
2023-10-31,ATS,,current,34.15,1401398,356
2023-10-31,AUDC,,current,6.6752,1110758,356
2023-10-31,AURA,,current,7.47,523937,356
2023-10-31,AVD,,current,9.2507,3266432,356
2023-10-31,AVIR,,current,3.1,885100,356
2023-10-31,AVNW,,current,26.18,2164964,356
2023-10-31,BARK,,current,20.8,704135,356
2023-10-31,BATRA,,current,38.37,1738471,356
2023-10-31,BBCP,,current,6.1487,418342,356
2023-10-31,BCBP,,current,8.6733,349787,356
2023-10-31,BCLI,1137883,roster,2.25,360140,356
2023-10-31,BCML,,current,18.3653,368200,356
2023-10-31,BCSF,,current,10.8182,2319475,356
2023-10-31,BCTX,,current,40.0,447964,356
2023-10-31,BHB,,current,21.9647,642040,356
2023-10-31,BIRD,,current,14.5691,736730,356
2023-10-31,BIVI,,current,387.0,620686,356
2023-10-31,BKSY,1753539,roster,9.52,712169,356
2023-10-31,BMRC,,current,14.6385,772674,356
