date,ticker,price,adv,n_bars
2015-09-30,AAMI,13.6806,2791432,245
2015-09-30,AAON,11.8848,2718292,336
2015-09-30,ABCB,24.8975,3338240,336
2015-09-30,ABEO,99.5,979738,336
2015-09-30,ABUS,6.01,4543332,336
2015-09-30,ACCO,4.4878,2632129,336
2015-09-30,ACHV,4884.0,2237136,336
2015-09-30,ACIC,9.9692,2046884,336
2015-09-30,ACLS,10.68,2028754,336
2015-09-30,ACNT,8.5746,112669,336
2015-09-30,ACTG,9.4165,3478732,336
2015-09-30,AD,15.9964,1108100,336
2015-09-30,ADMA,8.03,108765,336
2015-09-30,ADUS,31.6,1889204,336
2015-09-30,AEMD,414600.0,597900,336
2015-09-30,AFMDQ,60.4,2505287,264
2015-09-30,AGI,3.3578,4287855,336
2015-09-30,AGM,18.6408,547258,336
2015-09-30,AGRO,7.011,932748,336
2015-09-30,AGX,25.9155,2763655,336
2015-09-30,AGYS,11.14,352019,336
2015-09-30,AIFU,2403.3743,945915,336
2015-09-30,AIM,8706.1104,76050,336
2015-09-30,AIN,24.4793,2944210,336
2015-09-30,AIOT,3.15,111729,336
2015-09-30,AKBA,9.55,3066362,336
2015-09-30,ALCO,34.2591,638939,336
2015-09-30,ALDX,6.04,129342,336
2015-09-30,ALG,43.5577,1999753,336
2015-09-30,ALLT,4.77,680712,336
2015-09-30,ALNT,10.7223,1947651,336
2015-09-30,AMC,182.5844,4872466,336
2015-09-30,AMPH,10.78,3386369,319
2015-09-30,AMPY,5.0402,400816,336
2015-09-30,AMRC,5.89,300995,336
2015-09-30,AMSC,4.31,273493,336
2015-09-30,AMSF,21.3559,1502323,336
2015-09-30,ANDE,26.7872,4530439,336
2015-09-30,ANGI,49.5,3947305,336
2015-09-30,ANGO,13.22,1903783,336
2015-09-30,ANIK,31.35,4289936,336
2015-09-30,ANY,28840.0,1204000,336
2015-09-30,AORT,9.8022,649499,336
2015-09-30,AOSL,7.84,401019,336
2015-09-30,AP,10.2573,288582,336
2015-09-30,APAM,12.5736,3460616,336
2015-09-30,APEI,23.56,2444888,336
2015-09-30,APT,2.03,103244,336
2015-09-30,ARCO,2.3801,1192611,336
2015-09-30,ARCT,41.44,1477899,336
2015-09-30,ARDX,16.65,2428443,323
2015-09-30,ARES,11.4315,561009,336
2015-09-30,ARMP,603.4,98308,336
2015-09-30,AROW,16.0867,299771,336
2015-09-30,ARQ,4.7698,106223,336
2015-09-30,ARTNA,17.5074,271099,336
2015-09-30,ASC,8.6004,2059013,336
2015-09-30,ASMB,114.96,1151747,336
2015-09-30,ASPN,7.45,509848,327
2015-09-30,ASTC,286.5,65587,336
2015-09-30,ASTE,29.9156,3298330,336
2015-09-30,ASYS,4.36,393977,336
2015-09-30,ATEC,3.84,70668,336
2015-09-30,ATEN,5.4107,2119204,336
2015-09-30,ATHXQ,28.25,328985,336
2015-09-30,ATLO,14.5779,132372,336
2015-09-30,ATNI,56.5044,3696052,336
2015-09-30,ATNM,52.2,1407467,336
2015-09-30,ATOS,2025.0,106474,336
2015-09-30,ATRC,20.65,4135600,336
2015-09-30,AUB,16.7987,1756605,336
2015-09-30,AUDC,2.5962,167020,336
2015-09-30,AUPH,2.79,80100,271
2015-09-30,AVAV,19.81,3631330,336
2015-09-30,AVD,10.5943,2210906,336
2015-09-30,AVNW,6.3,99325,336
